Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
保护,bǎohù,to protect; to defend; to safeguard; protection; CL:種|种[zhǒng],bảo hộ,bảo vệ,保护环境。Bảo vệ môi trường.
保留,bǎoliú,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance),bảo lưu,giữ lại/bảo lưu,保留意见。Giữ lại ý kiến.
保险,bǎoxiǎn,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fèn],bảo hiểm,bảo hiểm,买保险。Mua bảo hiểm.
保证,bǎozhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[gè],bảo chứng,bảo đảm/đảm bảo,我保证。Tôi đảm bảo.
抱,bào,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,bão,ôm/bế,她抱着孩子。Cô ấy bế đứa trẻ.
抱歉,bàoqiàn,sorry; We apologize!; to feel apologetic; to regret,bão thiểm,xin lỗi/lấy làm tiếc,真抱歉。Rất xin lỗi.
报道,bàodào,report; CL:篇[piān];份[fèn],báo đạo,đưa tin/báo cáo,新闻报道。Bản tin tức.
报告,bàogào,to inform; report; make known; speech; talk; lecture; CL:篇[piān];份[fèn];個|个[gè];通[tòng],báo cáo,báo cáo,工作报告。Báo cáo công việc.
报名,bàomíng,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,báo danh,đăng ký,报名参加。Đăng ký tham gia.
报纸,bàozhǐ,newspaper; newsprint; CL:份[fèn];期[qī];張|张[zhāng],báo chỉ,tờ báo,我买报纸。Tôi mua báo.
悲观,bēiguān,pessimistic,bi quan,bi quan,不要悲观。Đừng bi quan.
杯子,bēizi,cup; glass; CL:個|个[gè];支[zhī];枝[zhī],bôi tử,cái cốc/cái ly,这个杯子是我的。Đây là cái ly của tôi.
北方,běifāng,north; the northern part a country; China north of the Yellow River,bắc phương,phương Bắc/miền Bắc,我来自北方。Tôi đến từ miền Bắc.
北京,běijīng,Beijing; capital of People's Republic of China; Peking; PRC government,Bắc Kinh,Bắc Kinh,我去北京。Tôi đi Bắc Kinh.
倍,bèi,(two; three etc) -fold; times (multiplier); double; to increase or multiply,bội,gấp/lần,两倍。Gấp đôi.
背,bèi,back; the backside; to do something behind someone's back; to learn and recite something by heart; unlucky,bối,lưng/sau,背后。Phía sau.
背景,bèijǐng,background; backdrop; context; CL:種|种[zhǒng],bối cảnh,bối cảnh,文化背景。Bối cảnh văn hóa.
被,bèi,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),bị,(bị động),他被老师批评了。Anh ấy bị giáo viên phê bình.
被子,bèizi,quilt; CL:床[chuáng],bị tử,chăn,盖被子。Đắp chăn.
本,běn,roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books; periodicals; files etc; originally,bản,quyển/cuốn,我有三本书。Tôi có ba quyển sách.
本科,běnkē,undergraduate course; undergraduate (adjective),bản khoa,đại học/cử nhân,本科学生。Sinh viên đại học.
本来,běnlái,original; originally; at first; it goes without saying; of course,bản lai,vốn/nguyên,他本来不想去。Vốn anh ấy không muốn đi.
本领,běnlǐng,skill; ability; capability; CL:項|项[xiàng];個|个[gè],bản lĩnh,bản lĩnh/tài năng,有本领。Có tài năng.
本质,běnzhì,essence; nature; innate character; intrinsic quality,bản chất,bản chất,事物的本质。Bản chất sự vật.
笨,bèn,stupid; foolish; silly; slow-witted; clumsy,bổn,ngu/đần,他很笨。Anh ấy rất ngu.
鼻子,bízi,nose; CL:個|个[gè];隻|只[zhī],tị tử,mũi,我的鼻子很疼。Mũi tôi đau lắm.
比,bǐ,(particle used for comparison and -er than); to compare; to contrast; to gesture (with hands); ratio,tỉ,so với/hơn,他跑得比我快。Anh ấy chạy nhanh hơn tôi.
比较,bǐjiào,compare; contrast; fairly; comparatively; relatively; quite; rather,tỉ giảo,so sánh/khá,这个比较好。Cái này khá tốt.
比例,bǐlì,proportion; scale,tỉ lệ,tỉ lệ,男女比例。Tỉ lệ nam nữ.
比如,bǐrú,for example; for instance; such as,tỉ như,ví dụ,比如说。Ví dụ như.
比赛,bǐsài,competition (sports etc); match; CL:場|场[chǎng];次[cì],tỉ tái,thi đấu/cuộc thi,足球比赛。Trận đấu bóng đá.
彼此,bǐcǐ,each other; one another,bỉ thử,lẫn nhau,彼此帮助。Giúp đỡ lẫn nhau.
笔记本,bǐjìběn,notebook; CL:本[běn],bút ký bản,vở ghi chép,我的笔记本。Vở ghi chép của tôi.
毕竟,bìjìng,after all; all in all; when all is said and done; in the final analysis,tất cánh,rốt cuộc/sau cùng,毕竟他还小。Rốt cuộc anh ấy còn nhỏ.
毕业,bìyè,graduation; to graduate; to finish school,tất nghiệp,tốt nghiệp,我明年毕业。Tôi tốt nghiệp năm sau.
避免,bìmiǎn,to avert; to prevent; to avoid; to refrain from,tị miễn,tránh/tránh khỏi,避免错误。Tránh sai lầm.
必然,bìrán,inevitable; certain; necessity,tất nhiên,tất yếu/tất nhiên,必然结果。Kết quả tất yếu.
必须,bìxū,to have to; must; compulsory; necessarily,tất tu,phải/cần phải,我们必须努力。Chúng ta phải cố gắng.
必需,bìxū,to need; to require; essential; indispensable,tất tu,cần thiết,生活必需品。Nhu yếu phẩm.
必要,bìyào,necessary; essential; indispensable; required,tất yếu,cần thiết/cần,有必要。Có cần thiết.
编辑,biānjí,to edit; to compile; editor; compiler,biên tập,biên tập,编辑文章。Biên tập bài viết.
鞭炮,biānpào,firecrackers; a string of small firecrackers; CL:枚[méi],tiên bào,pháo/pháo hoa,放鞭炮。Đốt pháo.
便,biàn,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,tiện,tiện/thì,方便。Thuận tiện.
遍,biàn,a time; everywhere; turn; all over; one time,biến,(lượng từ),看一遍。Xem một lần.
变化,biànhuà,change; variation; to change; to vary; CL:個|个[gè],biến hóa,thay đổi,天气变化很大。Thời tiết thay đổi lớn.
辩论,biànlùn,debate; argument; to argue over; CL:場|场[chǎng];次[cì],biện luận,tranh luận/biện luận,辩论比赛。Cuộc tranh luận.
标点,biāodiǎn,punctuation; a punctuation mark; to punctuate; CL:個|个[gè],tiêu điểm,dấu câu,标点符号。Dấu câu.
标志,biāozhì,sign; mark; symbol; symbolize; to indicate; to mark,tiêu chí,biểu tượng/dấu hiệu,标志性建筑。Công trình biểu tượng.
标准,biāozhǔn,(an official) standard; norm; criterion; CL:個|个[gè],tiêu chuẩn,tiêu chuẩn,国际标准。Tiêu chuẩn quốc tế.
表达,biǎodá,to voice (an opinion); to express; to convey,biểu đạt,diễn đạt/bày tỏ,表达意见。Bày tỏ ý kiến.
表格,biǎogé,form; table; CL:張|张[zhāng];份[fèn],biểu cách,biểu mẫu,填表格。Điền biểu mẫu.
表面,biǎomiàn,surface; face; outside; appearance,biểu diện,bề mặt,水的表面。Mặt nước.
表明,biǎomíng,to make clear; to make known; to state clearly; to indicate; known,biểu minh,biểu thị/cho thấy,表明态度。Bày tỏ thái độ.
表情,biǎoqíng,(facial) expression; to express one's feelings; expression,biểu tình,biểu cảm/nét mặt,面部表情。Nét mặt.
表示,biǎoshì,to express; to show; to say; to state; to indicate; to mean,biểu thị,biểu thị/thể hiện,表示感谢。Bày tỏ lòng cảm ơn.
表现,biǎoxiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc),biểu hiện,biểu hiện/thể hiện,表现很好。Biểu hiện rất tốt.
表演,biǎoyǎn,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chǎng],biểu diễn,biểu diễn,他们在表演节目。Họ đang biểu diễn chương trình.
表扬,biǎoyáng,to praise; to commend,biểu dương,khen ngợi,老师表扬了我。Giáo viên khen tôi.
别,bié,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,biệt,đừng,别说话。Đừng nói chuyện.
别人,biérén,other people; others; other person,biệt nhân,người khác,不要管别人。Đừng quản người khác.
宾馆,bīnguǎn,guesthouse; CL:個|个[gè];家[jiā],tân quán,khách sạn,我住在宾馆。Tôi ở khách sạn.
冰箱,bīngxiāng,icebox; freezer cabinet; refrigerator; CL:臺|台[tái];個|个[gè],băng tương,tủ lạnh,把牛奶放在冰箱里。Để sữa trong tủ lạnh.
丙,bǐng,third of 1 heavenly stems 十天干; third in order; letter C or roman III in list A; B; C; or I; II; III etc; propyl,bính,Bính (can chi),甲乙丙丁。Giáp Ất Bính Đinh.
饼干,bǐnggān,biscuit; cracker; cookie; CL:片[piàn];塊|块[kuài],bính can,bánh quy,吃饼干。Ăn bánh quy.
病毒,bìngdú,virus,bệnh độc,vi rút/virus,电脑病毒。Virus máy tính.
并且,bìngqiě,and; besides; moreover; furthermore; in addition,tính thả,và/hơn nữa,他聪明并且努力。Anh ấy thông minh và chăm chỉ.
玻璃,bōlí,glass; nylon; plastic; CL:張|张[zhāng];塊|块[kuài],pha lê,thuỷ tinh,玻璃杯。Cốc thuỷ tinh.
博士,bóshì,doctor; court academician (in feudal China); Ph.D.,bác sĩ,tiến sĩ,他是博士。Anh ấy là tiến sĩ.
博物馆,bówùguǎn,museum,bác vật quán,bảo tàng,参观博物馆。Tham quan bảo tàng.
脖子,bózi,neck; CL:個|个[gè],bạc tử,cổ,脖子疼。Đau cổ.
不必,bùbì,need not; does not have to,bất tất,không cần,不必担心。Không cần lo.
不但,bùdàn,not only (... but also...),bất đãn,không những,不但...而且...。Không những...mà còn...
不断,bùduàn,unceasing; uninterrupted; continuous; constant,bất đoạn,không ngừng/liên tục,不断努力。Nỗ lực không ngừng.
不过,bùguò,only; merely; no more than; but; however; anyway (to get back to a previous topic),bất quá,nhưng/tuy nhiên,不过我不确定。Nhưng tôi không chắc.
不见得,bújiànde,not necessarily; not likely,bất kiến đắc,chưa chắc,不见得对。Chưa chắc đúng.
不客气,búkèqì,you're welcome; impolite; rude; blunt; don't mention it,bất khách khí,không có gì,A：谢谢！B：不客气！
不耐烦,bùnàifán,impatience; impatient,bất nại phiền,mất kiên nhẫn,他很不耐烦。Anh ấy rất mất kiên nhẫn.
不要紧,búyàojǐn,unimportant; not serious; it doesn't matter; never mind; it looks all right; but,bất yếu khẩn,không sao/không quan trọng,不要紧。Không sao.
补充,bǔchōng,to replenish; to supplement; to complement; additional; supplementary; CL:個|个[gè],bổ sung,bổ sung,补充说明。Giải thích bổ sung.
布,bù,cloth; to declare; to announce; to spread; to make known,bố,vải,一块布。Một miếng vải.
不,bù,(negative prefix); not; no,bất,không,我不去。Tôi không đi.
不安,bùān,unpeaceful; unstable; uneasy; disturbed; restless; worried,bất an,bất an/lo lắng,心里不安。Lòng bất an.
不得不,bùdébù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,bất đắc bất,không thể không/bắt buộc,我不得不去。Tôi không thể không đi.
不得了,bùdéle,desperately serious; disastrous; extremely; exceedingly,bất đắc liễu,nghiêm trọng/ghê quá,不得了！Ghê quá!
不管,bùguǎn,no matter (what; how); regardless of; no matter,bất quản,dù/bất kể,不管怎样。Dù sao.
不好意思,bùhǎoyìsī,to feel embarrassed; to be ill at ease; to find it embarrassing (to do sth),bất hảo ý tư,xin lỗi/ngại,真不好意思。Thật ngại quá.
不仅,bùjǐn,not only (this one); not just (...) but also,bất cận,không chỉ,不仅如此。Không chỉ thế.
不免,bùmiǎn,unavoidable,bất miễn,không tránh khỏi,不免有错。Không tránh khỏi có lỗi.
不然,bùrán,not so; no; or else; otherwise; if not,bất nhiên,nếu không,不然就迟到了。Nếu không sẽ muộn.
不如,bùrú,not equal to; not as good as; inferior to; it would be better to,bất như,không bằng,不如他。Không bằng anh ấy.
不足,bùzú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,bất túc,không đủ/thiếu,睡眠不足。Ngủ không đủ giấc.
部分,bùfèn,part; share; section; piece; CL:個|个[gè],bộ phận,phần/bộ phận,一部分。Một phần.
部门,bùmén,department; branch; section; division; CL:個|个[gè],bộ môn,bộ phận/phòng ban,财务部门。Phòng tài chính.
步骤,bùzhòu,step; move; measure,bộ tấu,bước/thủ tục,操作步骤。Các bước thao tác.
擦,cā,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish,sát,chùi/lau,擦桌子。Lau bàn.
猜,cāi,to guess,thái,đoán,猜一猜。Đoán thử xem.
才,cái,ability; talent; endowment; gift; an expert; only (then); only if; just,tài,mới,他才来。Anh ấy mới đến.
财产,cáichǎn,property; CL:筆|笔[bǐ],tài sản,tài sản,个人财产。Tài sản cá nhân.
材料,cáiliào,material; data; makings; stuff; CL:個|个[gè];種|种[zhǒng],tài liệu,tài liệu/vật liệu,准备材料。Chuẩn bị tài liệu.
踩,cǎi,to step on; to tread; to stamp; to press a pedal; to pedal (a bike),thái,giẫm/đạp,踩到了。Giẫm phải rồi.
采访,cǎifǎng,to interview; to gather news; to hunt for and collect; to cover,thải phỏng,phỏng vấn,采访记者。Phỏng vấn phóng viên.
采取,cǎiqǔ,to adopt or carry out (measures; policies; course of action); to take,thải thủ,áp dụng/thực hiện,采取措施。Thực hiện biện pháp.
彩虹,cǎihóng,rainbow,thái hồng,cầu vồng,看彩虹。Xem cầu vồng.
菜,cài,dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pán];道[dào],thái,món ăn,我喜欢这个菜。Tôi thích món ăn này.
菜单,càidān,menu; CL:份[fèn];張|张[zhāng],thái đơn,thực đơn,请给我菜单。Cho tôi xin thực đơn.
参观,cānguān,to look around; to inspect; visit and observe,tham quan,tham quan,参观博物馆。Tham quan bảo tàng.
参加,cānjiā,to participate; to take part; to join,tham gia,tham gia,我参加了比赛。Tôi đã tham gia cuộc thi.
参考,cānkǎo,consultation; reference; to consult; to refer,tham khảo,tham khảo,参考资料。Tài liệu tham khảo.
参与,cānyù,to participate (in sth),tham dự,tham gia/tham dự,参与活动。Tham gia hoạt động.
餐厅,cāntīng,dining-hall; dining-room; restaurant; CL:間|间[jiān];家[jiā],xan thính,nhà hàng/phòng ăn,在餐厅吃饭。Ăn ở nhà hàng.
残疾,cánjí,disabled; handicapped; deformity on a person or animal,tàn tật,tàn tật,残疾人。Người khuyết tật.
惭愧,cánkuì,ashamed,tàm quý,hổ thẹn/xấu hổ,我很惭愧。Tôi rất xấu hổ.
操场,cāochǎng,playground; sports field; drill ground; CL:個|个[gè],tháo trường,sân vận động,在操场运动。Vận động ở sân.
操心,cāoxīn,to worry about,tháo tâm,lo lắng,别操心。Đừng lo.
草,cǎo,grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[kē];撮[zuǒ];株[zhū];根[gēn],thảo,cỏ,草地上有很多草。Trên bãi cỏ có nhiều cỏ.
册,cè,book; booklet; classifier for books,sách,(lượng từ),一册书。Một quyển sách.
厕所,cèsuǒ,toilet; lavatory; CL:間|间[jiān];處|处[chù],trắc sở,nhà vệ sinh/toilet,上厕所。Đi vệ sinh.
测验,cèyàn,test; to test; CL:次[cì];個|个[gè],trắc nghiệm,kiểm tra/bài kiểm tra,进行测验。Tiến hành kiểm tra.
层,céng,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),tằng,tầng,我住在五层。Tôi ở tầng năm.
曾经,céngjīng,once; already; former; previously; ever; (past tense marker used before verb or clause),tằng kinh,từng/đã từng,曾经去过。Đã từng đi.
插,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose,sáp,cắm/chèn,插花。Cắm hoa.
差别,chābié,difference; distinction; diversity; disparity,sai biệt,khác biệt/sự khác biệt,有差别。Có khác biệt.
叉子,chāzi,fork; CL:把[bǎ],xoa tử,nĩa/cái nĩa,用叉子。Dùng nĩa.
茶,chá,tea; tea plant; CL:杯[bēi];壺|壶[hú],trà,trà,我喝茶。Tôi uống trà.
差,chà,differ from; short of; to lack; poor,sai,kém/chênh lệch,差十分钟。Kém mười phút.
差不多,chàbuduō,almost; nearly; more or less,sai bất đa,gần giống/xấp xỉ,差不多了。Gần xong rồi.
拆,chāi,to tear open; to tear down; to tear apart; to open,sách,tháo/mở,拆开包裹。Mở bưu kiện.
产品,chǎnpǐn,goods; merchandise; product; CL:個|个[gè],sản phẩm,sản phẩm,质量产品。Sản phẩm chất lượng.
产生,chǎnshēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield,sản sinh,sinh ra/phát sinh,产生影响。Tạo ra ảnh hưởng.
尝,cháng,to taste; flavor; (past tense marker); already; formerly; ever; once; test,thường,nếm/thử,尝一尝。Nếm thử.
长,zhǎng,length; long; forever; always; constantly,trường,dài,长头发。Tóc dài.
长城,chángchéng,the Great Wall,Trường Thành,Vạn Lý Trường Thành,去长城。Đi Vạn Lý Trường Thành.
长江,chángjiāng,Changjiang river; Yangtze river,Trường Giang,sông Dương Tử,长江很长。Sông Dương Tử rất dài.
长途,chángtú,long distance,trường đồ,đường dài/xa,长途电话。Điện thoại đường dài.
常识,chángshí,common sense; general knowledge; CL:門|门[mén],thường thức,tri thức thông thường,基本常识。Tri thức cơ bản.
场,chǎng,large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams,trường,sân/trường,足球场。Sân bóng.
唱歌,chànggē,to sing a song,xướng ca,hát,我喜欢唱歌。Tôi thích hát.
抄,chāo,to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate,sao,chép,抄写。Sao chép.
超过,chāoguò,to surpass; to exceed; to outstrip,siêu quá,vượt qua,超过100人。Vượt quá 100 người.
超市,chāoshì,supermarket (abbr.); CL:家[jiā],siêu thị,siêu thị,我去超市买东西。Tôi đi siêu thị mua đồ.
朝,cháo,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards,triều,triều đại/về phía,朝南。Hướng về phía nam.
朝代,cháodài,dynasty; reign (of a king),triều đại,triều đại,唐朝代。Triều đại Đường.
炒,chǎo,saute; pan-fry; to fry; fried,sảo,xào/chiên,炒菜。Xào rau.
吵,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise,sao,ồn ào/cãi nhau,别吵了。Đừng ồn ào nữa.
吵架,chǎojià,to quarrel; to have a row; CL:頓|顿[dùn],sao giá,cãi nhau,别吵架。Đừng cãi nhau.
车库,chēkù,garage,xa khố,nhà để xe/ga ra,停在车库。Đỗ ở nhà để xe.
车厢,chēxiāng,carriage; CL:節|节[jié],xa tương,toa xe,火车车厢。Toa tàu hoả.
彻底,chèdǐ,thorough; thoroughly; complete,triệt để,triệt để/hoàn toàn,彻底解决。Giải quyết triệt để.
沉默,chénmò,silence; uncommunicative,trầm mặc,im lặng,保持沉默。Giữ im lặng.
趁,chèn,to avail oneself of; to take advantage of,sấn,nhân/tranh thủ,趁机会。Nhân cơ hội.
衬衫,chènshān,shirt; blouse; CL:件[jiàn],sân sam,áo sơ mi,他穿着白衬衫。Anh ấy mặc áo sơ mi trắng.
称,chēng,to weigh; to state; to name; name; appellation; to praise,xưng,cân/gọi,称体重。Cân trọng lượng.
称呼,chēnghū,to call; to address as; appellation,xưng hô,xưng hô,如何称呼？Xưng hô như thế nào?
称赞,chēngzàn,to praise; to acclaim; to commend; to compliment,xưng tán,khen ngợi,称赞他。Khen ngợi anh ấy.
乘,chéng,to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (mathematics); Buddhist sect or creed,thừa,đi/nhân,乘车。Đi xe.
乘坐,chéngzuò,to ride (in a vehicle),thừa tọa,đi (phương tiện),乘坐飞机。Đi máy bay.
承担,chéngdān,to undertake; to assume (responsibility etc),thừa đảm,gánh vác/đảm nhận,承担责任。Gánh vác trách nhiệm.
承认,chéngrèn,to admit; to concede; to recognize; recognition (diplomatic; artistic etc); to acknowledge,thừa nhận,thừa nhận,承认错误。Thừa nhận lỗi lầm.
承受,chéngshòu,to bear; to support; to inherit,thừa thụ,chịu đựng,承受压力。Chịu đựng áp lực.
程度,chéngdù,degree (level or extent); level; CL:個|个[gè],trình độ,mức độ/trình độ,一定程度。Một mức độ nhất định.
程序,chéngxù,procedures; sequence; order; computer program,trình tự,trình tự/chương trình,操作程序。Trình tự thao tác.
成分,chéngfèn,composition; make-up; ingredient; element; component; one's social status; CL:個|个[gè],thành phần,thành phần,主要成分。Thành phần chính.
成功,chénggōng,success; to succeed; CL:次[cì];個|个[gè],thành công,thành công,他成功了。Anh ấy thành công rồi.
成果,chéngguǒ,result; achievement; gain; profit; CL:個|个[gè],thành quả,thành quả/kết quả,研究成果。Thành quả nghiên cứu.
成绩,chéngjì,achievement; performance records; grades; CL:項|项[xiàng];個|个[gè],thành tích,thành tích/điểm số,我的成绩很好。Điểm của tôi rất tốt.
成就,chéngjiù,accomplishment; success; attain a result; achievement; CL:個|个[gè],thành tựu,thành tựu,伟大成就。Thành tựu vĩ đại.
成立,chénglì,to establish; to set up; to be tenable; to hold water,thành lập,thành lập,成立公司。Thành lập công ty.
成熟,chéngshú,mature; ripe; Taiwan pr. chéng shóu,thành thục,chín chắn/trưởng thành,他很成熟。Anh ấy rất trưởng thành.
成为,chéngwéi,to become; to turn into,thành vi,trở thành,成为老师。Trở thành giáo viên.
