Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
听,tīng,to listen; to hear; to obey; a can (loanword from English tin); classifier for canned beverages,thính,nghe,我听音乐。Tôi nghe nhạc.
同学,tóngxué,(fellow) classmate; CL:位[wèi];個|个[gè],đồng học,bạn học,我是你的同学。Tôi là bạn học của bạn.
喂,wèi,hello (interj.; esp. on telephone); hey; to feed (sb or some animal),vị,alo,喂;你好！Alo; xin chào!
我,wǒ,I; me; my,ngã,tôi,我是学生。Tôi là học sinh.
我们,wǒmen,we; us; ourselves; our,ngã môn,chúng tôi/chúng ta,我们是朋友。Chúng ta là bạn.
五,wǔ,five; 5,ngũ,năm,五个人。5 người.
喜欢,xǐhuān,to like; to be fond of,hỷ hoan,thích,我喜欢你。Tôi thích bạn.
下,xià,down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down,hạ,xuống/dưới,坐下。Ngồi xuống.
下午,xiàwǔ,afternoon; p.m.; CL:個|个[gè],hạ ngọ,buổi chiều,下午我工作。Chiều tôi làm việc.
下雨,xiàyǔ,to rain; rainy,hạ vũ,mưa,今天下雨。Hôm nay trời mưa.
先生,xiānshēng,teacher; Mister (Mr.); husband; doctor (topolect); CL:個|个[gè];位[wèi],tiên sinh,ông/ngài,王先生。Ông Vương.
现在,xiànzài,now; at present; at the moment; modern; current; nowadays,hiện tại,bây giờ,我现在去。Bây giờ tôi đi.
想,xiǎng,to think; to believe; to suppose; to wish; to want; to miss,tưởng,muốn/nghĩ,我想你。Tôi nhớ bạn.
小,xiǎo,small; tiny; few; young,tiểu,nhỏ,小孩子。Trẻ nhỏ.
小姐,xiǎojiě,young lady; miss; CL:個|个[gè];位[wèi],tiểu thư,cô,小姐;请问… Cô ơi cho hỏi...
些,xiē,some; few; several; (a measure word),tá,một vài,一些东西。Một vài đồ.
写,xiě,to write,tả,viết,我写字。Tôi viết chữ.
谢谢,xièxiè,to thank; thanks,tạ tạ,cảm ơn,谢谢你！Cảm ơn bạn!
星期,xīngqī,week; CL:個|个[gè],tinh kì,tuần,星期一：thứ hai.
学生,xuéshēng,student; school child,học sinh,học sinh,我是学生。Tôi là học sinh.
学习,xuéxí,to learn; to study,học tập,học,我学习中文。Tôi học tiếng Trung.
学校,xuéxiào,school; CL:所[suǒ],học hiệu,trường học,我去学校。Tôi đi học.
一,yī,one; 1; single; a (article); as soon as; entire; whole; all; throughout; one radical in Chinese characters (Kangxi radical 1),nhất,một,一个人。Một người.
衣服,yīfú,clothes; CL:件[jiàn];套[tào],y phục,quần áo,我买衣服。Tôi mua quần áo.
医生,yīshēng,doctor; CL:個|个[gè];位[wèi];名[míng],y sinh,bác sĩ,我是医生。Tôi là bác sĩ.
医院,yīyuàn,hospital; CL:所[suǒ];家[jiā];座[zuò],y viện,bệnh viện,我去医院。Tôi đi bệnh viện.
椅子,yǐzi,chair; CL:把[bǎ];套[tào],ỷ tử,ghế,椅子在桌子前面。Ghế ở trước bàn.
有,yǒu,to have; there is; there are; to exist; to be,hữu,có,我有钱。Tôi có tiền.
月,yuè,moon; month; CL:個|个[gè];輪|轮[lún],nguyệt,tháng,这个月。Tháng này.
在,zài,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),tại,ở,我在家。Tôi ở nhà.
再见,zàijiàn,goodbye; see you again later,tái kiến,tạm biệt,再见！Tạm biệt!
怎么,zěnme,how?; what?; why?,chẩm ma,như thế nào,怎么做？Làm sao?
怎么样,zěnmeyàng,how?; how about?; how was it?; how are things?,chẩm ma dạng,thế nào,你觉得怎么样？Bạn thấy thế nào?
这,zhè,this; these; (commonly pr. zhèi before a classifier; esp. in Beijing),giá,này/đây,这是我的书。Đây là sách của tôi.
中国,zhōngguó,China; Middle Kingdom,trung Quốc,Trung Quốc,我在中国。Tôi ở Trung Quốc.
中午,zhōngwǔ,noon; midday; CL:個|个[gè],trung ngọ,buổi trưa,中午吃饭。Ăn trưa.
住,zhù,to live; to dwell; to stay; to reside; to stop,trụ,ở/sống,我住在河内。Tôi sống ở Hà Nội.
桌子,zhuōzi,table; desk; CL:張|张[zhāng];套[tào],trác tử,bàn,桌子上有书。Trên bàn có sách.
字,zì,letter; symbol; character; word; CL:個|个[gè]; courtesy or style name traditionally given to males aged 2 in dynastic China,tự,chữ,写汉字。Viết chữ Hán.
昨天,zuótiān,yesterday,tạc thiên,hôm qua,我昨天去北京。Hôm qua tôi đi Bắc Kinh.
坐,zuò,to sit; to take a seat; to take (a bus; airplane etc); to bear fruit; surname Zuo,tọa,ngồi,请坐。Mời ngồi.
做,zuò,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance,tố,làm,我做饭。Tôi nấu ăn.
