Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
笔记本,bǐjìběn,notebook; CL:本[běn],bút ký bản,vở ghi chép,我的笔记本。Vở ghi chép của tôi.
必须,bìxū,to have to; must; compulsory; necessarily,tất tu,phải/cần phải,我们必须努力。Chúng ta phải cố gắng.
毕业,bìyè,graduation; to graduate; to finish school,tất nghiệp,tốt nghiệp,我明年毕业。Tôi tốt nghiệp năm sau.
遍,biàn,a time; everywhere; turn; all over; one time,biến,(lượng từ),看一遍。Xem một lần.
变化,biànhuà,change; variation; to change; to vary; CL:個|个[gè],biến hóa,thay đổi,天气变化很大。Thời tiết thay đổi lớn.
标准,biāozhǔn,(an official) standard; norm; criterion; CL:個|个[gè],tiêu chuẩn,tiêu chuẩn,国际标准。Tiêu chuẩn quốc tế.
表达,biǎodá,to voice (an opinion); to express; to convey,biểu đạt,diễn đạt/bày tỏ,表达意见。Bày tỏ ý kiến.
表格,biǎogé,form; table; CL:張|张[zhāng];份[fèn],biểu cách,biểu mẫu,填表格。Điền biểu mẫu.
表示,biǎoshì,to express; to show; to say; to state; to indicate; to mean,biểu thị,biểu thị/thể hiện,表示感谢。Bày tỏ lòng cảm ơn.
表演,biǎoyǎn,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chǎng],biểu diễn,biểu diễn,他们在表演节目。Họ đang biểu diễn chương trình.
表扬,biǎoyáng,to praise; to commend,biểu dương,khen ngợi,老师表扬了我。Giáo viên khen tôi.
别,bié,to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin,biệt,đừng,别说话。Đừng nói chuyện.
别人,biérén,other people; others; other person,biệt nhân,người khác,不要管别人。Đừng quản người khác.
宾馆,bīnguǎn,guesthouse; CL:個|个[gè];家[jiā],tân quán,khách sạn,我住在宾馆。Tôi ở khách sạn.
冰箱,bīngxiāng,icebox; freezer cabinet; refrigerator; CL:臺|台[tái];個|个[gè],băng tương,tủ lạnh,把牛奶放在冰箱里。Để sữa trong tủ lạnh.
饼干,bǐnggān,biscuit; cracker; cookie; CL:片[piàn];塊|块[kuài],bính can,bánh quy,吃饼干。Ăn bánh quy.
并且,bìngqiě,and; besides; moreover; furthermore; in addition,tính thả,và/hơn nữa,他聪明并且努力。Anh ấy thông minh và chăm chỉ.
博士,bóshì,doctor; court academician (in feudal China); Ph.D.,bác sĩ,tiến sĩ,他是博士。Anh ấy là tiến sĩ.
不但,bùdàn,not only (... but also...),bất đãn,không những,不但...而且...。Không những...mà còn...
不过,bùguò,only; merely; no more than; but; however; anyway (to get back to a previous topic),bất quá,nhưng/tuy nhiên,不过我不确定。Nhưng tôi không chắc.
不客气,bùkèqi,you're welcome; impolite; rude; blunt; don't mention it,bất khách khí,không có gì,A：谢谢！B：不客气！
不,bù,(negative prefix); not; no,bất,không,我不去。Tôi không đi.
不得不,bùdébù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,bất đắc bất,không thể không/bắt buộc,我不得不去。Tôi không thể không đi.
不管,bùguǎn,no matter (what; how); regardless of; no matter,bất quản,dù/bất kể,不管怎样。Dù sao.
不仅,bùjǐn,not only (this one); not just (...) but also,bất cận,không chỉ,不仅如此。Không chỉ thế.
部分,bùfèn,part; share; section; piece; CL:個|个[gè],bộ phận,phần/bộ phận,一部分。Một phần.
擦,cā,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish,sát,chùi/lau,擦桌子。Lau bàn.
猜,cāi,to guess,thái,đoán,猜一猜。Đoán thử xem.
才,cái,ability; talent; endowment; gift; an expert; only (then); only if; just,tài,mới,他才来。Anh ấy mới đến.
材料,cáiliào,material; data; makings; stuff; CL:個|个[gè];種|种[zhǒng],tài liệu,tài liệu/vật liệu,准备材料。Chuẩn bị tài liệu.
菜,cài,dish (type of food); vegetables; vegetable; cuisine; CL:盤|盘[pán];道[dào],thái,món ăn,我喜欢这个菜。Tôi thích món ăn này.
菜单,càidān,menu; CL:份[fèn];張|张[zhāng],thái đơn,thực đơn,请给我菜单。Cho tôi xin thực đơn.
参观,cānguān,to look around; to inspect; visit and observe,tham quan,tham quan,参观博物馆。Tham quan bảo tàng.
参加,cānjiā,to participate; to take part; to join,tham gia,tham gia,我参加了比赛。Tôi đã tham gia cuộc thi.
草,cǎo,grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[kē];撮[zuǒ];株[zhū];根[gēn],thảo,cỏ,草地上有很多草。Trên bãi cỏ có nhiều cỏ.
层,céng,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),tằng,tầng,我住在五层。Tôi ở tầng năm.
茶,chá,tea; tea plant; CL:杯[bēi];壺|壶[hú],trà,trà,我喝茶。Tôi uống trà.
差,chà,differ from; short of; to lack; poor,sai,kém/chênh lệch,差十分钟。Kém mười phút.
差不多,chàbuduō,almost; nearly; more or less,sai bất đa,gần giống/xấp xỉ,差不多了。Gần xong rồi.
尝,cháng,to taste; flavor; (past tense marker); already; formerly; ever; once; test,thường,nếm/thử,尝一尝。Nếm thử.
长,cháng,length; long; forever; always; constantly,trường,dài,长头发。Tóc dài.
长城,chángchéng,the Great Wall,Trường Thành,Vạn Lý Trường Thành,去长城。Đi Vạn Lý Trường Thành.
长江,chángjiāng,Changjiang river; Yangtze river,Trường Giang,sông Dương Tử,长江很长。Sông Dương Tử rất dài.
场,chǎng,large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams,trường,sân/trường,足球场。Sân bóng.
唱歌,chànggē,to sing a song,xướng ca,hát,我喜欢唱歌。Tôi thích hát.
超过,chāoguò,to surpass; to exceed; to outstrip,siêu quá,vượt qua,超过100人。Vượt quá 100 người.
超市,chāoshì,supermarket (abbr.); CL:家[jiā],siêu thị,siêu thị,我去超市买东西。Tôi đi siêu thị mua đồ.
吵,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise,sao,ồn ào/cãi nhau,别吵了。Đừng ồn ào nữa.
衬衫,chènshān,shirt; blouse; CL:件[jiàn],sân sam,áo sơ mi,他穿着白衬衫。Anh ấy mặc áo sơ mi trắng.
成功,chénggōng,success; to succeed; CL:次[cì];個|个[gè],thành công,thành công,他成功了。Anh ấy thành công rồi.
成绩,chéngjì,achievement; performance records; grades; CL:項|项[xiàng];個|个[gè],thành tích,thành tích/điểm số,我的成绩很好。Điểm của tôi rất tốt.
成熟,chéngshú,mature; ripe; Taiwan pr. chéng shóu,thành thục,chín chắn/trưởng thành,他很成熟。Anh ấy rất trưởng thành.
成为,chéngwéi,to become; to turn into,thành vi,trở thành,成为老师。Trở thành giáo viên.
诚实,chéngshí,honest; honesty; honorable; truthful,thành thực,thành thật/chân thật,他很诚实。Anh ấy rất thành thật.
城市,chéngshì,city; town; CL:座[zuò],thành thị,thành phố,北京是大城市。Bắc Kinh là thành phố lớn.
乘坐,chéngzuò,to ride (in a vehicle),thừa tọa,đi (phương tiện),乘坐飞机。Đi máy bay.
吃,chī,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,xích,ăn,我吃米饭。Tôi ăn cơm.
吃惊,chījīng,to be startled; to be shocked; to be amazed,xích kinh,ngạc nhiên/giật mình,我很吃惊。Tôi rất ngạc nhiên.
迟到,chídào,to arrive late,trì đáo,đến muộn,我今天迟到了。Hôm nay tôi đến muộn.
重新,chóngxīn,again; once more; re-,trùng tân,lại/làm lại,重新开始。Bắt đầu lại.
抽烟,chōuyān,to smoke (a cigarette; tobacco),trừu yên,hút thuốc,他在抽烟。Anh ấy đang hút thuốc.
出,chū,to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas; plays; operas etc,xuất,ra ngoài,他出去了。Anh ấy ra ngoài rồi.
出差,chūchāi,to go on an official or business trip,xuất sai,đi công tác,我要出差。Tôi phải đi công tác.
出发,chūfā,to start out; to set off,xuất phát,xuất phát,我们出发吧。Chúng ta xuất phát thôi.
出生,chūshēng,to be born,xuất sinh,sinh ra,我出生在河内。Tôi sinh ở Hà Nội.
出现,chūxiàn,to appear; to arise; to emerge; to show up,xuất hiện,xuất hiện,问题出现了。Vấn đề xuất hiện rồi.
出租车,chūzūchē,taxi,xuất tô xa,xe taxi,我们坐出租车去。Chúng tôi đi taxi.
厨房,chúfáng,kitchen; CL:間|间[jiān],trù phòng,nhà bếp,妈妈在厨房做饭。Mẹ ở nhà bếp nấu cơm.
除了,chúle,besides; apart from (... also...); in addition to; except (for),trừ liễu,ngoài/trừ,除了我，大家都去了。Ngoài tôi ra
穿,chuān,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,xuyên,mặc,我穿新衣服。Tôi mặc đồ mới.
船,chuán,a boat; vessel; ship; CL:條|条[tiáo];艘[sōu];隻|只[zhī],thuyền,thuyền,坐船。Đi thuyền.
传真,chuánzhēn,fax; facsimile,truyền chân,fax,发传真。Gửi fax.
窗户,chuānghu,window; CL:個|个[gè];扇[shàn],song hộ,cửa sổ,开窗户。Mở cửa sổ.
春,chūn,spring (time); gay; joyful; youthful; love; lust; life,xuân,xuân/mùa xuân,春天到了。Mùa xuân đến rồi.
词典,cídiǎn,dictionary (of Chinese compound words); also written 辭典|辞典[cí diǎn]; CL:部[bù];本[běn],từ điển,từ điển,查词典。Tra từ điển.
词语,cíyǔ,word (general term including monosyllables through to short phrases); term (e.g. technical term); expression,từ ngữ,từ ngữ,学习新词语。Học từ ngữ mới.
次,cì,next in sequence; second; the second (day; time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time,thứ,lần,我去过两次。Tôi đã đi hai lần.
聪明,cōngming,acute (of sight and hearing); clever; intelligent; bright; smart,thông minh,thông minh,她很聪明。Cô ấy rất thông minh.
从,cóng,from; via; passing through; through (a gap); past; ever (followed by negative; meaning never); (formerly pr. zòng and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; surname Cong,tòng,từ,从这儿到学校很近。Từ đây đến trường rất gần.
从来,cónglái,always; at all times; never (if used in negative sentence),tùng lai,từng/chưa bao giờ,我从来不迟到。Tôi chưa bao giờ đến muộn.
粗心,cūxīn,careless; thoughtless,thô tâm,bất cẩn/sơ ý,他很粗心。Anh ấy rất bất cẩn.
错,cuò,mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[gè],thác,sai,你错了。Bạn sai rồi.
答案,dáàn,answer; solution; CL:個|个[gè],đáp án,đáp án/câu trả lời,正确的答案。Đáp án đúng.
打扮,dǎban,to decorate; to dress; to make up; to adorn; manner of dressing; style of dress,đả bạn,trang điểm/ăn mặc,她打扮得很漂亮。Cô ấy trang điểm rất đẹp.
打电话,dǎdiànhuà,to make a telephone call,đả điện thoại,gọi điện,我给你打电话。Tôi gọi điện cho bạn.
打篮球,dǎlánqiú,play basketball,đả lam cầu,chơi bóng rổ,我会打篮球。Tôi biết chơi bóng rổ.
打扰,dǎrǎo,to disturb; to bother; to trouble,đả nhiễu,làm phiền,打扰一下。Xin làm phiền.
打扫,dǎsǎo,to clean; to sweep,đả tảo,dọn dẹp,我打扫房间。Tôi dọn dẹp phòng.
打算,dǎsuàn,to plan; to intend; to calculate; plan; intention; calculation; CL:個|个[gè],đả toán,dự định/định,你打算去哪儿？Bạn định đi đâu?
打印,dǎyìn,to print; to seal; to stamp,đả ấn,in,打印文件。In tài liệu.
打折,dǎzhé,to give a discount,đả chiết,giảm giá,打八折。Giảm 20%.
打针,dǎzhēn,to give or have an injection,đả châm,tiêm thuốc,去打针。Đi tiêm thuốc.
大,dà,big; huge; large; major; great; wide; deep; oldest; eldest,đại,to/lớn,这是一只大狗。Đây là con chó lớn.
大概,dàgài,roughly; probably; rough; approximate; about,đại khái,đại khái/khoảng chừng,大概三点。Khoảng 3 giờ.
大家,dàjiā,authority; everyone,đại gia,mọi người,大家好！Xin chào mọi người!
大使馆,dàshǐguǎn,embassy; CL:座[zuò];個|个[gè],đại sứ quán,đại sứ quán,去大使馆。Đi đại sứ quán.
大约,dàyuē,approximately; about,đại ước,khoảng/độ,大约十个人。Khoảng 10 người.
带,dài,band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiáo]; to wear; to carry; to lead; to bring; to look after; to raise,đái,mang/đem,请带上护照。Hãy mang theo hộ chiếu.
戴,dài,to put on or wear (glasses; hat; gloves etc); to respect; to bear; to support,đái,đeo/đội,戴眼镜。Đeo kính.
代表,dàibiǎo,representative; delegate; CL:位[wèi];個|个[gè];名[míng]; to represent; to stand for; on behalf of; in the name of,đại biểu,đại diện/đại biểu,他代表我们。Anh ấy đại diện chúng tôi.
代替,dàitì,instead; to replace; to substitute (X for Y; or a number in an algebraic expression),đại thế,thay thế,代替他。Thay thế anh ấy.
大夫,dàifu,doctor; minister of state (in pre-Han states); CL:個|个[gè];位[wèi],đại phu,bác sĩ,看大夫。Khám bác sĩ.
担心,dānxīn,anxious; worried; uneasy; to worry; to be anxious,đơn tâm,lo lắng,别担心。Đừng lo lắng.
蛋糕,dàngāo,cake; CL:塊|块[kuài];個|个[gè],đản cao,bánh ngọt/bánh kem,生日蛋糕。Bánh sinh nhật.
但是,dànshì,but; however,đãn thị,nhưng,我想去，但是没时间。Tôi muốn đi nhưng không có thời gian.
当,dāng,to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at,đương,khi/đang,当老师。Làm giáo viên.
当地,dāngdì,local,đương địa,địa phương/bản địa,当地人。Người địa phương.
当然,dāngrán,only natural; as it should be; certainly; of course; without doubt,đương nhiên,tất nhiên/đương nhiên,当然可以。Tất nhiên được.
当时,dāngshí,then; at that time; while,đương thì,lúc đó,当时我在家。Lúc đó tôi ở nhà.
刀,dāo,knife; CL:把[bǎ],đao,dao,用刀切菜。Dùng dao cắt rau.
导游,dǎoyóu,tour guide; to conduct a tour; a guidebook,đạo du,hướng dẫn viên,他是导游。Anh ấy là hướng dẫn viên.
到,dào,to (a place); until (a time); up to; to go; to arrive,đáo,đến,我到了。Tôi đến rồi.
到处,dàochù,in all places; everywhere,đáo xứ,khắp nơi,到处都是。Khắp nơi đều có.
到底,dàodǐ,finally; in the end; when all is said and done; after all; to the end; to the last,đáo để,cuối cùng/rốt cuộc,到底怎么了？Rốt cuộc thế nào?
道歉,dàoqiàn,to apologize; to make an apology,đạo khiếm,xin lỗi,我向你道歉。Tôi xin lỗi bạn.
得意,déyì,proud of oneself; pleased with oneself; complacent,đắc ý,đắc ý/tự hào,他很得意。Anh ấy rất đắc ý.
地,de,-ly; structural particle: used before a verb or adjective; linking it to preceding modifying adverbial adjunct,địa,(trợ từ),他高兴地笑了。Anh ấy cười vui vẻ.
的,de,of; structural particle: used before a noun; linking it to preceding possessive or descriptive attributive,đích,của,这是我的书。Đây là sách của tôi.
得,de,structural particle: used after a verb (or adjective as main verb); linking it to following phrase indicating effect; degree; possibility etc,đắc,được (bổ ngữ),他说得很好。Anh ấy nói rất tốt.
得,děi,to have to; must; ought to; to need to,đắc,được (bổ ngữ),他说得很好。Anh ấy nói rất tốt.
灯,dēng,lamp; light; lantern; CL:盞|盏[zhǎn],đăng,đèn,开灯。Bật đèn.
等,děng,wait for; await,đẳng,đẳng cấp/chờ,等等。Vân vân.
等,děng,et cetera; and so on; et al. (and other authors); after; as soon as; once,đẳng,đẳng cấp/chờ,等等。Vân vân.
低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline,đê,thấp,声音太低。Giọng nói quá thấp.
底,dǐ,background; bottom; base; the end of a period of time; towards the end of (last month),để,đáy/cuối,到底。Cuối cùng.
弟弟,dìdi,younger brother; CL:個|个[gè];位[wèi],đệ đệ,em trai,我有一个弟弟。Tôi có một em trai.
地方,dìfāng,region; regional (away from the central administration),địa phương,nơi/chỗ,这是什么地方？Đây là nơi nào?
地球,dìqiú,the Earth; planet; CL:個|个[gè],địa cầu,trái đất,保护地球。Bảo vệ trái đất.
地铁,dìtiě,subway; metro,địa thiết,tàu điện ngầm,我坐地铁上班。Tôi đi tàu điện ngầm đi làm.
地图,dìtú,map; CL:張|张[zhāng];本[běn],địa đồ,bản đồ,看地图。Xem bản đồ.
地址,dìzhǐ,address; CL:個|个[gè],địa chỉ,địa chỉ,我的地址。Địa chỉ của tôi.
第一,dìyī,first; number one,đệ nhất,thứ nhất,第一名。Hạng nhất.
点,diǎn,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,điểm,giờ/chấm,现在三点。Bây giờ là 3 giờ.
电脑,diànnǎo,computer; CL:臺|台[tái],điện não,máy tính,我有一台电脑。Tôi có một máy tính.
电视,diànshì,television; TV; CL:臺|台[tái];個|个[gè],điện thị,tivi,我在看电视。Tôi đang xem tivi.
电梯,diàntī,elevator; CL:臺|台[tái];部[bù],điện thê,thang máy,坐电梯。Đi thang máy.
电影,diànyǐng,movie; film; CL:部[bù];片[piàn];幕[mù];場|场[chǎng],điện ảnh,phim,我喜欢中国电影。Tôi thích phim Trung Quốc.
电子邮件,diànzǐyóujiàn,electronic mail; email; CL:封[fēng],điện tử thư tiễn,thư điện tử/email,我给你发电子邮件。Tôi gửi email cho bạn.
掉,diào,to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value; weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair),điếu,rơi/rụng,书掉了。Sách rơi rồi.
调查,diàochá,investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:項|项[xiàng];個|个[gè],điều tra,điều tra,调查情况。Điều tra tình hình.
丢,diū,to lose; to put aside; to throw,điêu,mất/đánh mất,我丢了钱包。Tôi mất ví.
冬,dōng,winter,đông,đông/mùa đông,冬天很冷。Mùa đông rất lạnh.
东,dōng,east; host (i.e. sitting on east side of guest); landlord; surname Dong,đông,đông/phương Đông,太阳从东方升起。Mặt trời mọc ở phương Đông.
东西,dōngxi,thing; stuff; person; CL:個|个[gè];件[jiàn],đông tây,đồ vật,我买了一些东西。Tôi mua vài món đồ.
懂,dǒng,to understand; to know,đổng,hiểu,我懂了。Tôi hiểu rồi.
动物,dòngwù,animal; CL:隻|只[zhī];群[qún];個|个[gè],động vật,động vật,我喜欢动物。Tôi thích động vật.
动作,dòngzuò,movement; motion; action; CL:個|个[gè],động tác,động tác,做动作。Làm động tác.
都,dōu,all; both; entirely (due to) each; even; already,đô,đều,我们都是学生。Chúng tôi đều là học sinh.
读,dú,to read; to study; reading of word (i.e. pronunciation); similar to 拼音[pīn yīn],độc,đọc,我读书。Tôi đọc sách.
堵车,dǔchē,traffic jam; choking,đổ xa,tắc đường,路上堵车了。Trên đường bị tắc.
肚子,dùzi,belly; abdomen; stomach; CL:個|个[gè],đỗ tử,bụng,肚子疼。Đau bụng.
短,duǎn,short or brief; to lack; weak point; fault,đoản,ngắn,这条裤子太短。Quần này quá ngắn.
段,duàn,paragraph; section; segment; stage (of a process); classifier for stories; periods of time; lengths of thread etc,đoạn,đoạn,一段时间。Một đoạn thời gian.
断,duàn,to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely;decidedly,đoạn,đứt/gãy,线断了。Dây đứt rồi.
锻炼,duànliàn,to engage in physical exercise; to toughen; to temper,đoán luyện,rèn luyện/tập thể dục,我每天锻炼身体。Mỗi ngày tôi tập thể dục.
对,duì,couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right,đối,đúng/đôi,你说得对。Bạn nói đúng.
对,duì,(介词)to; for,đối,đúng/đôi,你说得对。Bạn nói đúng.
对不起,duìbuqǐ,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),đối bất khởi,xin lỗi,对不起！— Không sao。
对话,duìhuà,dialog; CL:個|个[gè],đối thoại,đối thoại,练习对话。Luyện tập đối thoại.
对面,duìmiàn,opposite,đối diện,đối diện,在对面。Ở đối diện.
顿,dùn,stop; pause; to arrange; to lay out; to kowtow; to stamp; at once; classifier for meals; beating; tellings off etc: time; bout; spell; meal,đốn,(lượng từ cho bữa ăn),一顿饭。Một bữa cơm.
多,duō,many; much; a lot of; numerous; multi-,đa,nhiều,这里很多人。Ở đây nhiều người.
多么,duōme,how (wonderful etc); what (a great idea etc); however (difficult it may be etc),đa ma,biết bao/thật là,多么美丽啊！Đẹp biết bao!
多少,duōshǎo,number; amount; somewhat,đa thiểu,bao nhiêu,这个多少钱？Cái này bao nhiêu tiền?
朵,duǒ,flower; earlobe; fig. item on both sides; classifier for flowers; clouds etc,đóa,(lượng từ cho hoa),一朵花。Một bông hoa.
饿,è,to be hungry; hungry,ngạ,đói,我很饿。Tôi đói lắm.
而,ér,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast),nhi,mà/còn,我高兴;而他不高兴。Tôi vui còn anh ấy không vui.
