Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
吧,ba,(modal particle indicating polite suggestion); ...right?; ...OK?,ba,trợ từ ngữ khí,我们走吧。Wǒmen zǒu ba. – Chúng ta đi nhé.
掰,bāi,to break with both hands,bai,bẻ/掰开,掰开。Bẻ ra.
白,bái,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,bạch,màu trắng,白云。Bái yún – mây trắng.
摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,bài,bày/đặt,摆桌子。Bày bàn.
百,bǎi,hundred; numerous; all kinds of; surname Bai,bách,một trăm,一百块。Yì bǎi kuài – 100 tệ.
百分点,bǎifēndiǎn,percentage point,bách phân điểm,điểm phần trăm,提高百分点。Tăng điểm phần trăm.
摆脱,bǎituō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,bãi thoát,thoát khỏi/dứt bỏ,摆脱困难。Thoát khỏi khó khăn.
拜访,bàifǎng,pay a visit; call on,bái phỏng,thăm viếng/viếng thăm,拜访朋友。Thăm viếng bạn bè.
败坏,bàihuài,to ruin; to corrupt; to undermine,bại hoại,làm hư hỏng/phá hoại,败坏名誉。Phá hoại danh dự.
拜年,bàinián,pay a New Year call; wish sb a Happy New Year,bái niên,chúc Tết,拜年了。Chúc Tết.
拜托,bàituō,request sb to do sth; please!,bái thác,nhờ vả/phiền,拜托帮忙。Nhờ giúp đỡ.
搬,bān,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,ban,chuyển/dọn,我们要搬家。Chúng tôi sẽ chuyển nhà.
班,bān,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[gè],ban,lớp,我们班有30个学生。Lớp chúng tôi có 30 học sinh.
颁布,bānbù,to issue; to proclaim; to enact (laws; decrees etc),ban bố,ban hành/công bố,颁布法律。Ban hành luật.
颁发,bānfā,issue; promulgate; award,ban phát,trao/phát,颁发证书。Trao chứng chỉ.
斑纹,bānwén,stripe; streak,ban văn,vân/sọc,斑纹图案。Họa tiết có vân.
班主任,bānzhǔrèn,a teacher in charge of a class,ban chủ nhiệm,giáo viên chủ nhiệm,他是班主任。Anh ấy là giáo viên chủ nhiệm.
版本,bǎnběn,version; edition; release,bản bản,phiên bản,新版本。Phiên bản mới.
半,bàn,half; semi-; incomplete; (after a number) and a half,bán,nửa,半个小时。Nửa tiếng.
办法,bànfǎ,means; method; way (of doing sth); CL:條|条[tiáo];個|个[gè],biện pháp,cách/phương pháp,我没有办法。Tôi không có cách nào.
办公室,bàngōngshì,an office; business premises; a bureau; CL:間|间[jiān],biện công thất,văn phòng,老师在办公室。Giáo viên ở văn phòng.
办理,bànlǐ,to handle; to transact; to conduct,biện lí,xử lý/làm thủ tục,办理手续。Làm thủ tục.
伴侣,bànlǚ,companion; mate; partner,bạn lữ,bạn đời/bạn đồng hành,人生伴侣。Bạn đời.
伴随,bànsuí,to accompany; to follow; to occur together with; attendant,bạn tùy,đi kèm/theo,伴随着。Đi kèm với.
半途而废,bàntúérfèi,to give up halfway (idiom); leave sth unfinished,bán đồ nhi phế,bỏ dở giữa chừng,不能半途而废。Không thể bỏ dở giữa chừng.
扮演,bànyǎn,play the part of; act,bạn diễn,đóng vai/thủ vai,扮演角色。Đóng vai.
帮忙,bāngmáng,to help; to lend a hand; to do a favor; to do a good turn,bang mang,giúp đỡ,你能帮我忙吗？Bạn có thể giúp tôi không?
帮助,bāngzhù,assistance; aid; to help; to assist,giúp trợ,giúp đỡ,谢谢你的帮助。Cảm ơn sự giúp đỡ của bạn.
绑架,bǎngjià,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking,bảng giá,bắt cóc,绑架人质。Bắt cóc con tin.
榜样,bǎngyàng,example; model; CL:個|个[gè],bảng dạng,tấm gương/gương mẫu,学习榜样。Học tập tấm gương.
棒,bàng,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,bổng,gậy/giỏi,他很棒。Anh ấy rất giỏi.
磅,bàng,see 磅秤 scale; platform balance; pound (unit of weight; about 44 grams),bảng,pao/cân,三磅。Ba pao.
傍晚,bàngwǎn,in the evening; when night falls; towards evening; at night fall; at dusk,bàng vãn,chiều tối/hoàng hôn,傍晚时分。Lúc hoàng hôn.
包,bāo,to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[gè];隻|只[zhī],bao,gói/bọc,一包糖。Một gói kẹo.
包庇,bāobì,shield; harbor; cover up,bao tí,che chở/bao che,包庇罪犯。Bao che tội phạm.
包袱,bāofú,cloth-wrapper; a bundle wrapped in cloth; load; weight; burden,bao phủ,gói/gánh nặng,思想包袱。Gánh nặng tư tưởng.
包裹,bāoguǒ,wrap up; bind up; bundle; parcel; package; CL:個|个[gè],bao quả,gói/bưu kiện,寄包裹。Gửi bưu kiện.
包含,bāohán,to contain; to embody; to include,bao hàm,bao gồm/chứa đựng,包含很多内容。Bao gồm nhiều nội dung.
包括,bāokuò,to comprise; to include; to involve; to incorporate; to consist of,bao quát,bao gồm,包括我在内。Bao gồm cả tôi.
包围,bāowéi,to surround; to encircle; to hem in,bao vi,bao vây,包围敌人。Bao vây kẻ địch.
包装,bāozhuāng,pack; package,bao trang,đóng gói,包装产品。Đóng gói sản phẩm.
包子,bāozi,steamed stuffed bun; CL:個|个[gè],bao tử,bánh bao,吃包子。Ăn bánh bao.
薄,báo,thin; cold in manner; indifferent; weak; light; infertile,bạc,mỏng,纸很薄。Giấy rất mỏng.
饱,bǎo,to eat till full; satisfied,bão,no/no bụng,我吃饱了。Tôi no rồi.
宝贝,bǎobèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,bảo bối,báu vật/con yêu,我的宝贝。Con yêu của mẹ.
保持,bǎochí,to keep; to maintain; to hold; to preserve,bảo trì,duy trì/giữ,保持联系。Giữ liên lạc.
保存,bǎocún,to conserve; to preserve; to keep; to save (a file etc) (computing),bảo tồn,bảo quản/lưu trữ,保存文件。Lưu file.
保管,bǎoguǎn,to assure; to guarantee; to take care of; to safeguard; certainly; surely,bảo quản,bảo quản/đảm bảo,保管好。Bảo quản tốt.
宝贵,bǎoguì,valuable; precious; value; treasure; set store by,bảo quý,quý giá,时间很宝贵。Thời gian rất quý giá.
饱和,bǎohé,saturation,bão hòa,bão hòa,市场饱和。Thị trường bão hòa.
保护,bǎohù,to protect; to defend; to safeguard; protection; CL:種|种[zhǒng],bảo hộ,bảo vệ,保护环境。Bảo vệ môi trường.
饱经沧桑,bǎojīngcāngsāng,having lived through many changes,bão kinh thương tang,trải qua nhiều thăng trầm,老人饱经沧桑。Ông già trải qua nhiều thăng trầm.
保留,bǎoliú,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance),bảo lưu,giữ lại/bảo lưu,保留意见。Giữ lại ý kiến.
保密,bǎomì,to keep sth confidential; to maintain secrecy,bảo mật,bảo mật/giữ bí mật,严格保密。Bảo mật nghiêm ngặt.
保姆,bǎomǔ,nanny; housekeeper,bảo mẫu,bảo mẫu/vú em,请保姆。Thuê bảo mẫu.
保守,bǎoshǒu,(politically) conservative; to guard; to keep,bảo thủ,bảo thủ,思想保守。Tư tưởng bảo thủ.
保卫,bǎowèi,to defend; to safeguard,bảo vệ,bảo vệ,保卫国家。Bảo vệ tổ quốc.
保险,bǎoxiǎn,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fèn],bảo hiểm,bảo hiểm,买保险。Mua bảo hiểm.
保养,bǎoyǎng,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance,bảo dưỡng,bảo dưỡng/chăm sóc,保养身体。Bảo dưỡng sức khỏe.
保障,bǎozhàng,to ensure; to guarantee; to safeguard,bảo chướng,đảm bảo/bảo đảm,生活保障。Đảm bảo cuộc sống.
保证,bǎozhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[gè],bảo chứng,bảo đảm/đảm bảo,我保证。Tôi đảm bảo.
保重,bǎozhòng,take care of oneself,bảo trọng,bảo trọng/giữ gìn,请保重。Xin bảo trọng.
抱,bào,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,bão,ôm/bế,她抱着孩子。Cô ấy bế đứa trẻ.
报仇,bàochóu,to revenge (oneself); to avenge,báo thù,báo thù,报仇雪恨。Báo thù.
报酬,bàochóu,reward; remuneration,báo thù,thù lao/đền đáp,丰厚报酬。Thù lao hậu hĩnh.
报答,bàodá,to repay; to requite,báo đáp,báo đáp/đền đáp,报答恩情。Báo đáp ơn.
报到,bàodào,report for duty; check in; register,báo đáo,báo cáo/đi nhận việc,新生报到。Sinh viên mới nhận việc.
报道,bàodào,report; CL:篇[piān];份[fèn],báo đạo,đưa tin/báo cáo,新闻报道。Bản tin tức.
爆发,bàofā,to break out; to erupt; to explode; to burst out,bạo phát,bùng nổ/bùng phát,爆发战争。Chiến tranh bùng nổ.
报复,bàofù,to make reprisals; to retaliate; revenge; retaliation,báo phục,trả thù/báo phục,报复行为。Hành vi trả thù.
抱负,bàofù,aspiration; ambition,bão phụ,hoài bão/khát vọng,远大抱负。Hoài bão to lớn.
报告,bàogào,to inform; report; make known; speech; talk; lecture; CL:篇[piān];份[fèn];個|个[gè];通[tòng],báo cáo,báo cáo,工作报告。Báo cáo công việc.
曝光,bàoguāng,exposure (e.g. of photosensitive material); to expose (a scandal to the public),bạo quang,phơi bày/phơi sáng,曝光率。Tỷ lệ phơi sáng.
暴力,bàolì,violence; (use) force; violent,bạo lực,bạo lực,反对暴力。Chống bạo lực.
暴露,bàolù,to expose; to reveal; to lay bare,bạo lộ,phơi bày/lộ ra,暴露缺点。Phơi bày khuyết điểm.
报名,bàomíng,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,báo danh,đăng ký,报名参加。Đăng ký tham gia.
抱歉,bàoqiàn,sorry; We apologize!; to feel apologetic; to regret,bão thiểm,xin lỗi/lấy làm tiếc,真抱歉。Rất xin lỗi.
报社,bàoshè,general office of a newspaper; newspaper office; CL:家[jiā],báo xã,tòa soạn báo,在报社工作。Làm ở tòa soạn.
报销,bàoxiāo,submit an expense account; apply for reimbursement; write-off; wipe out,báo tiêu,thanh toán/quyết toán,报销费用。Thanh toán chi phí.
抱怨,bàoyuàn,to complain; to grumble,bão oán,phàn nàn/than phiền,别抱怨。Đừng phàn nàn.
爆炸,bàozhà,explosion; to explode; to blow up; to detonate,bạo chạ,nổ/bùng nổ,爆炸事件。Vụ nổ.
报纸,bàozhǐ,newspaper; newsprint; CL:份[fèn];期[qī];張|张[zhāng],báo chỉ,tờ báo,我买报纸。Tôi mua báo.
悲哀,bēiāi,grieved; sorrowful,bi ai,đau buồn/bi ai,感到悲哀。Cảm thấy đau buồn.
卑鄙,bēibǐ,base; mean; contemptible; despicable,ty bỉ,đê tiện/ti hèn,卑鄙小人。Kẻ đê tiện.
悲惨,bēicǎn,miserable; tragic,bi thảm,bi thảm/thảm khốc,命运悲惨。Số phận bi thảm.
悲观,bēiguān,pessimistic,bi quan,bi quan,不要悲观。Đừng bi quan.
杯子,bēizi,cup; glass; CL:個|个[gè];支[zhī];枝[zhī],bôi tử,cái cốc/cái ly,这个杯子是我的。Đây là cái ly của tôi.
北方,běifāng,north; the northern part a country; China north of the Yellow River,bắc phương,phương Bắc/miền Bắc,我来自北方。Tôi đến từ miền Bắc.
北极,běijí,the North Pole; the Arctic Pole; the north magnetic pole,bắc cực,Bắc Cực,北极熊。Gấu Bắc Cực.
北京,běijīng,Beijing; capital of People's Republic of China; Peking; PRC government,Bắc Kinh,Bắc Kinh,我去北京。Tôi đi Bắc Kinh.
倍,bèi,(two; three etc) -fold; times (multiplier); double; to increase or multiply,bội,gấp/lần,两倍。Gấp đôi.
被,bèi,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),bị,(bị động),他被老师批评了。Anh ấy bị giáo viên phê bình.
背,bèi,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory,bối,lưng/sau,背后。Phía sau.
被动,bèidòng,passive,bị động,bị động,被动局面。Tình thế bị động.
备份,bèifèn,backup,bị phần,sao lưu/bản sao,备份文件。Sao lưu tài liệu.
被告,bèigào,defendant,bị cáo,bị cáo/bị đơn,被告人。Bị cáo.
背景,bèijǐng,background; backdrop; context; CL:種|种[zhǒng],bối cảnh,bối cảnh,文化背景。Bối cảnh văn hóa.
贝壳,bèiké,shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bèi qiào; mostly written,bối xác,vỏ sò,海边贝壳。Vỏ sò bãi biển.
背叛,bèipàn,to betray,bội phản,phản bội/phản,背叛朋友。Phản bội bạn.
背诵,bèisòng,recite; repeat from memory,bối tụng,đọc thuộc lòng/thuộc bài,背诵课文。Đọc thuộc bài.
备忘录,bèiwànglù,memorandum; aide-memoire; memorandum book,bị vong lục,bản ghi nhớ,签署备忘录。Ký bản ghi nhớ.
被子,bèizi,quilt; CL:床[chuáng],bị tử,chăn,盖被子。Đắp chăn.
奔波,bēnbō,rush about; be busy running about,bôn ba,bôn ba/vất vả,四处奔波。Bôn ba khắp nơi.
奔驰,bēnchí,to run quickly; to travel quickly; to move fast; Mercedes-Benz; German car make,bôn trì,chạy nhanh/phi,奔驰而去。Phi nhanh đi.
本,běn,roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books; periodicals; files etc; originally,bản,quyển/cuốn,我有三本书。Tôi có ba quyển sách.
本科,běnkē,undergraduate course; undergraduate (adjective),bản khoa,đại học/cử nhân,本科学生。Sinh viên đại học.
本来,běnlái,original; originally; at first; it goes without saying; of course,bản lai,vốn/nguyên,他本来不想去。Vốn anh ấy không muốn đi.
本领,běnlǐng,skill; ability; capability; CL:項|项[xiàng];個|个[gè],bản lĩnh,bản lĩnh/tài năng,有本领。Có tài năng.
本能,běnnéng,instinct,bản năng,bản năng,动物本能。Bản năng động vật.
本钱,běnqián,capital,bản tiền,vốn,做生意本钱。Vốn làm ăn.
本人,běnrén,the person himself; I (humble form used in speeches); oneself; myself; in person; personal,bản nhân,bản thân tôi,我本人。Bản thân tôi.
本身,běnshēn,itself; in itself; per se,bản thân,bản thân,问题本身。Vấn đề bản thân.
本事,běnshì,ability; skill; source material; original story,bản sự,tài năng/khả năng,有本事。Có tài.
本着,běnzhe,based on...; in conformance with..; taking as one's main principle,bản trước,dựa vào/căn cứ,本着原则。Dựa vào nguyên tắc.
本质,běnzhì,essence; nature; innate character; intrinsic quality,bản chất,bản chất,事物的本质。Bản chất sự vật.
笨,bèn,stupid; foolish; silly; slow-witted; clumsy,bổn,ngu/đần,他很笨。Anh ấy rất ngu.
笨拙,bènzhuō,clumsy; awkward; stupid,bận chuyết,vụng về/vụng,动作笨拙。Động tác vụng về.
崩溃,bēngkuì,to collapse; to crumble; to fall apart,băng quỹ,sụp đổ/tan rã,精神崩溃。Tinh thần sụp đổ.
甭,béng,need not; (contraction of 不 and 用),bẳng,không cần,甭担心。Không cần lo.
蹦,bèng,to jump; to bounce; to hop,bứng,nhảy/bật,蹦起来。Nhảy lên.
迸发,bèngfā,to burst out; to gush; to spurt,bừng phát,bùng phát/dâng trào,热情迸发。Nhiệt tình dâng trào.
逼迫,bīpò,to force; to compel; to coerce,bức bách,ép buộc/bắt buộc,逼迫他。Ép buộc anh ấy.
鼻涕,bítì,nasal mucus; snivel,tị thế,nước mũi,流鼻涕。Chảy nước mũi.
鼻子,bízi,nose; CL:個|个[gè];隻|只[zhī],tị tử,mũi,我的鼻子很疼。Mũi tôi đau lắm.
比,bǐ,(particle used for comparison and -er than); to compare; to contrast; to gesture (with hands); ratio,tỉ,so với/hơn,他跑得比我快。Anh ấy chạy nhanh hơn tôi.
彼此,bǐcǐ,each other; one another,bỉ thử,lẫn nhau,彼此帮助。Giúp đỡ lẫn nhau.
比方,bǐfāng,analogy; instance,tỉ phương,ví dụ/thí dụ,打个比方。Đưa ra ví dụ.
笔记本,bǐjìběn,notebook; CL:本[běn],bút ký bản,vở ghi chép,我的笔记本。Vở ghi chép của tôi.
比较,bǐjiào,compare; contrast; fairly; comparatively; relatively; quite; rather,tỉ giảo,so sánh/khá,这个比较好。Cái này khá tốt.
比例,bǐlì,proportion; scale,tỉ lệ,tỉ lệ,男女比例。Tỉ lệ nam nữ.
比如,bǐrú,for example; for instance; such as,tỉ như,ví dụ,比如说。Ví dụ như.
比赛,bǐsài,competition (sports etc); match; CL:場|场[chǎng];次[cì],tỉ tái,thi đấu/cuộc thi,足球比赛。Trận đấu bóng đá.
比喻,bǐyù,metaphor; analogy; figure of speech; figuratively,tỉ dụ,so sánh/ví von,比喻手法。Thủ pháp so sánh.
比重,bǐzhòng,proportion; specific gravity,tỉ trọng,tỷ trọng/tỷ lệ,占很大比重。Chiếm tỷ trọng lớn.
臂,bì,arm,tý,cánh tay/cánh,手臂。Cánh tay.
弊病,bìbìng,malady; evil; malpractice; drawback; disadvantage,tệ bệnh,tệ nạn/khuyết điểm,存在弊病。Tồn tại tệ nạn.
必定,bìdìng,be bound to; be sure to,tất định,nhất định/chắc chắn,必定成功。Nhất định thành công.
弊端,bìduān,malpractice; abuse; corrupt practice,tệ đoan,tệ đoan/폐해,制度弊端。Tệ đoan chế độ.
毕竟,bìjìng,after all; all in all; when all is said and done; in the final analysis,tất cánh,rốt cuộc/sau cùng,毕竟他还小。Rốt cuộc anh ấy còn nhỏ.
避免,bìmiǎn,to avert; to prevent; to avoid; to refrain from,tị miễn,tránh/tránh khỏi,避免错误。Tránh sai lầm.
必然,bìrán,inevitable; certain; necessity,tất nhiên,tất yếu/tất nhiên,必然结果。Kết quả tất yếu.
闭塞,bìsè,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking,bế tắc,bế tắc/tắc nghẽn,交通闭塞。Giao thông bế tắc.
必需,bìxū,to need; to require; essential; indispensable,tất tu,cần thiết,生活必需品。Nhu yếu phẩm.
必须,bìxū,to have to; must; compulsory; necessarily,tất tu,phải/cần phải,我们必须努力。Chúng ta phải cố gắng.
必要,bìyào,necessary; essential; indispensable; required,tất yếu,cần thiết/cần,有必要。Có cần thiết.
毕业,bìyè,graduation; to graduate; to finish school,tất nghiệp,tốt nghiệp,我明年毕业。Tôi tốt nghiệp năm sau.
碧玉,bìyù,jasper,bích ngọc,ngọc bích,碧玉手镯。Vòng tay ngọc bích.
鞭策,biāncè,to spur on; to urge on; to encourage sb (e.g. to make progress),tiên sách,thúc đẩy/roi mình,鞭策自己。Thúc đẩy bản thân.
编辑,biānjí,to edit; to compile; editor; compiler,biên tập,biên tập,编辑文章。Biên tập bài viết.
边疆,biānjiāng,border area; borderland; frontier; frontier region,biên cương,biên giới/vùng biên,保卫边疆。Bảo vệ biên cương.
边界,biānjiè,boundary; border,biên giới,ranh giới/biên giới,国家边界。Biên giới quốc gia.
边境,biānjìng,frontier; border,biên cảnh,biên giới/vùng biên,边境地区。Khu vực biên giới.
鞭炮,biānpào,firecrackers; a string of small firecrackers; CL:枚[méi],tiên bào,pháo/pháo hoa,放鞭炮。Đốt pháo.
边缘,biānyuán,edge; fringe; verge; brink; periphery; marginal; borderline,biên duyên,rìa/bờ,城市边缘。Rìa thành phố.
编织,biānzhī,to weave; to knit; to plait; to braid,biên chức,đan/dệt,编织毛衣。Đan áo len.
扁,biǎn,flat; (old form of character 匾; horizontal tablet with inscription),biển,dẹt/bẹt,轮胎扁了。Lốp xe bẹt rồi.
贬低,biǎndī,to belittle; to disparage; to play down; to demean; to degrade; to devalue,biển đê,hạ thấp/coi thường,贬低别人。Coi thường người khác.
贬义,biǎnyì,derogatory sense; negative connotation,biển nghĩa,nghĩa xấu/ý nghĩa tiêu cực,贬义词。Từ mang nghĩa xấu.
便,biàn,ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,tiện,tiện/thì,方便。Thuận tiện.
遍,biàn,a time; everywhere; turn; all over; one time,biến,(lượng từ),看一遍。Xem một lần.
遍布,biànbù,to cover the whole (area); to be found throughout,biến bố,phủ khắp/lan rộng,遍布全国。Phủ khắp cả nước.
变故,biàngù,an unforeseen event; accident; misfortune,biến cố,biến cố/sự biến,家庭变故。Biến cố gia đình.
辩护,biànhù,to speak in defense of; to argue in favor of; to defend; to plead,biện hộ,biện hộ/bào chữa,辩护律师。Luật sư bào chữa.
变化,biànhuà,change; variation; to change; to vary; CL:個|个[gè],biến hóa,thay đổi,天气变化很大。Thời tiết thay đổi lớn.
辩解,biànjiě,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself,biện giải,biện giải/giải thích,为自己辩解。Biện giải cho mình.
便利,biànlì,convenient; easy; facilitate,tiện lợi,tiện lợi/thuận tiện,交通便利。Giao thông thuận tiện.
辩论,biànlùn,debate; argument; to argue over; CL:場|场[chǎng];次[cì],biện luận,tranh luận/biện luận,辩论比赛。Cuộc tranh luận.
变迁,biànqiān,changes; vicissitudes,biến thiên,thay đổi/biến đổi,时代变迁。Thời đại thay đổi.
辨认,biànrèn,to recognize; to identify,biện nhận,nhận ra/phân biệt,辨认方向。Nhận ra phương hướng.
