Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
多少,duō shǎo,how much,đa thiểu,bao nhiêu,这个多少钱？Cái này bao nhiêu tiền?
儿子,ér zi,son,nhi tử,con trai,他有一个儿子。Anh ấy có một con trai.
二,èr,two,nhị,hai,二月是二月。Tháng hai là tháng 2.
饭馆,fàn guǎn,restaurant,phạn quán,nhà hàng/quán ăn,我们去饭馆吃饭。Chúng tôi đi quán ăn.
飞机,fēi jī,airplane,phi cơ,máy bay,我坐飞机去北京。Tôi đi Bắc Kinh bằng máy bay.
分钟,fēn zhōng,minute,phân chung,phút,等我五分钟。Đợi tôi năm phút.
高兴,gāo xìng,happy,cao hứng,vui,认识你很高兴。Rất vui được gặp bạn.
个,gè,measure word,cá,cái,一个人：một người.
工作,gōng zuò,to work,công tác,làm việc,我在学校工作。Tôi làm việc ở trường.
狗,gǒu,dog,cẩu,chó,我有一只狗。Tôi có một con chó.
汉语,hàn yǔ,Chinese language,Hán ngữ,tiếng Trung,我学习汉语。Tôi học tiếng Trung.
好,hǎo,good,hảo,tốt,今天天气很好。Hôm nay thời tiết rất tốt.
喝,hē,to drink,hát,uống,我喝水。Tôi uống nước.
和,hé,and,hòa,và,我和你。Tôi và bạn.
很,hěn,very,ngận,rất,我很高兴。Tôi rất vui.
后面,hòu miàn,rear,hậu diện,phía sau,学校后面有商店。Sau trường có cửa hàng.
回,huí,to return,hồi,về,我回家。Tôi về nhà.
会,huì,can/have ability,hội,biết/có thể,我会说中文。Tôi biết nói tiếng Trung.
火车站,huǒ chē zhàn,train station,hỏa xa trạm,ga tàu,我们在火车站见。Chúng ta gặp ở ga tàu.
几,jǐ,how many,kỷ,mấy,你几岁？Bạn mấy tuổi?
家,jiā,home,gia,nhà,我家在河内。Nhà tôi ở Hà Nội.
叫,jiào,to call/kêu,khiếu,gọi là,我叫明。Tôi tên là Minh.
今天,jīn tiān,today,kim thiên,hôm nay,今天是星期三。Hôm nay là thứ tư.
九,jiǔ,nine,cửu,chín,我有九个苹果。Tôi có chín quả táo.
开,kāi,to open,khai,mở,开门！Mở cửa!
看,kàn,to see,khán,xem/nhìn,我看书。Tôi đọc sách.
看见,kàn jiàn,to see,khán kiến,nhìn thấy,我看见他了。Tôi nhìn thấy anh ấy.
块,kuài,piece/money unit,khối,đồng/miếng,一块钱：1 tệ
来,lái,to come,lai,đến,你来这儿。Bạn đến đây.
老师,lǎo shī,teacher,lão sư,giáo viên,我是老师。Tôi là giáo viên.
了,le,(particle),liễu,(trợ từ) đã,我吃了。Tôi ăn rồi.
冷,lěng,cold,lãnh,lạnh,今天很冷。Hôm nay rất lạnh.
里,lǐ,inside,lí,bên trong,在家里：ở trong nhà.
零,líng,zero,linh,không,零度。0 độ.
六,liù,six,lục,sáu,六个学生。Sáu học sinh.
妈妈,mā mā,mother,ma ma,mẹ,妈妈在家。Mẹ ở nhà.
吗,ma,question particle,ma,à/hả/không?,你好吗？Bạn khỏe không?
买,mǎi,to buy,mãi,mua,我买苹果。Tôi mua táo.
猫,māo,cat,miêu,mèo,我有一只猫。Tôi có một con mèo.
没,méi,not,một,không,我没钱。Tôi không có tiền.
没关系,méi guān xì,it’s okay,một quan hệ,không sao,没关系！Không sao!
米饭,mǐ fàn,cooked rice,mễ phạn,cơm,我爱吃米饭。Tôi thích ăn cơm.
明天,míng tiān,tomorrow,minh thiên,ngày mai,明天见。Hẹn gặp ngày mai.
名字,míng zì,name,danh tự,tên,你的名字是什么？Tên bạn là gì?
哪,nǎ,which,nả,nào,你去哪？Bạn đi đâu?
那,nà,that,na,đó/kia,那是我的。Cái đó là của tôi.
呢,ne,particle,ni,thì sao?,你呢？Còn bạn?
能,néng,can,năng,có thể,我能来。Tôi có thể đến.
你,nǐ,you,nễ,bạn,你好吗？Bạn khỏe không?
年,nián,year,niên,năm,今年是2025年。Năm nay là 2025.
女儿,nǚ ér,daughter,nữ nhi,con gái,我有一个女儿。Tôi có một con gái.
朋友,péng yǒu,friend,bằng hữu,bạn bè,他是我的朋友。Anh ấy là bạn tôi.
漂亮,piào liàng,pretty,phiếu lượng,xinh đẹp,她很漂亮。Cô ấy rất đẹp.
苹果,píng guǒ,apple,bình quả,táo,我吃苹果。Tôi ăn táo.
七,qī,seven,thất,bảy,七个人。7 người.
钱,qián,money,tiền,tiền,我有很多钱。Tôi có nhiều tiền.
前面,qián miàn,front,tiền diện,phía trước,前面有人。Phía trước có người.
请,qǐng,to ask,thỉnh,xin/mời,请进！Mời vào!
去,qù,to go,khứ,đi,我去学校。Tôi đi học.
热,rè,hot,nhiệt,nóng,天气很热。Thời tiết rất nóng.
人,rén,person,nhân,người,很多人。Nhiều người.
认识,rèn shí,to know,nhận thức,biết/quen,我认识他。Tôi quen anh ấy.
日,rì,sun/ day,nhật,ngày,今天是三日。Hôm nay ngày 3.
三,sān,three,tam,ba,三个人。Ba người.
商店,shāng diàn,store,thương điếm,cửa hàng,我去商店。Tôi đi cửa hàng.
上,shàng,on,thượng,trên,在桌子上。Trên bàn.
上午,shàng wǔ,morning,thượng ngọ,buổi sáng,上午我学习。Sáng tôi học.
少,shǎo,few,thiểu,ít,人很少。Ít người.
谁,shéi,who,thuỳ,ai,你是谁？Bạn là ai?
什么,shén me,what,thập ma,cái gì,你说什么？Bạn nói gì?
十,shí,ten,thập,mười,十个人。10 người.
时候,shí hòu,time,thì hậu,khi/lúc,什么时候？Khi nào?
是,shì,is,thị,là,这是我。Đây là tôi.
书,shū,book,thư,sách,我买书。Tôi mua sách.
水,shuǐ,water,thuỷ,nước,我喝水。Tôi uống nước.
水果,shuǐ guǒ,fruit,thuỷ quả,trái cây,我喜欢吃水果。Tôi thích ăn trái cây.
睡觉,shuì jiào,to sleep,thuỵ giác,ngủ,我去睡觉。Tôi đi ngủ.
说话,shuō huà,to speak,thuyết thoại,nói chuyện,不要说话。Đừng nói chuyện.
四,sì,four,tứ,bốn,四个人。4 người.
岁,suì,year of age,tuế,tuổi,我二十岁。Tôi 20 tuổi.
他,tā,he,tha,anh ấy,他是老师。Anh ấy là giáo viên.
她,tā,she,tha,cô ấy,她很好。Cô ấy rất tốt.
太,tài,too (excessively),thái,quá,太热了！Nóng quá!
天气,tiān qì,weather,thiên khí,thời tiết,今天天气很好。Hôm nay thời tiết đẹp.
听,tīng,to listen,thính,nghe,我听音乐。Tôi nghe nhạc.
同学,tóng xué,classmate,đồng học,bạn học,我是你的同学。Tôi là bạn học của bạn.
喂,wèi,hello (phone),vị,alo,"喂 你好！Alo xin chào!"
我,wǒ,I,ngã,tôi,我是学生。Tôi là học sinh.
我们,wǒ men,we,ngã môn,chúng tôi/chúng ta,我们是朋友。Chúng ta là bạn.
五,wǔ,five,ngũ,năm,五个人。5 người.
喜欢,xǐ huān,to like,hỷ hoan,thích,我喜欢你。Tôi thích bạn.
下,xià,down,hạ,xuống/dưới,坐下。Ngồi xuống.
下午,xià wǔ,afternoon,hạ ngọ,buổi chiều,下午我工作。Chiều tôi làm việc.
下雨,xià yǔ,to rain,hạ vũ,mưa,今天下雨。Hôm nay trời mưa.
先生,xiān shēng,mister,tiên sinh,ông/ngài,王先生。Ông Vương.
现在,xiàn zài,now,hiện tại,bây giờ,我现在去。Bây giờ tôi đi.
想,xiǎng,to want/tothink,tưởng,muốn/nghĩ,我想你。Tôi nhớ bạn.
小,xiǎo,small,tiểu,nhỏ,小孩子。Trẻ nhỏ.
小姐,xiǎo jiě,Miss,tiểu thư,cô,小姐，请问… Cô ơi cho hỏi...
些,xiē,some,tá,một vài,一些东西。Một vài đồ.
写,xiě,to write,tả,viết,我写字。Tôi viết chữ.
谢谢,xiè xiè,to thank,tạ tạ,cảm ơn,谢谢你！Cảm ơn bạn!
星期,xīng qī,week,tinh kì,tuần,星期一：thứ hai.
学生,xué shēng,student,học sinh,học sinh,我是学生。Tôi là học sinh.
学习,xué xí,to study,học tập,học,我学习中文。Tôi học tiếng Trung.
学校,xué xiào,school,học hiệu,trường học,我去学校。Tôi đi học.
一,yī,one,nhất,một,一个人。Một người.
衣服,yī fú,clothes,y phục,quần áo,我买衣服。Tôi mua quần áo.
医生,yī shēng,doctor,y sinh,bác sĩ,我是医生。Tôi là bác sĩ.
医院,yī yuàn,hospital,y viện,bệnh viện,我去医院。Tôi đi bệnh viện.
椅子,yǐ zi,chair,ỷ tử,ghế,椅子在桌子前面。Ghế ở trước bàn.
有,yǒu,to have,hữu,có,我有钱。Tôi có tiền.
月,yuè,month,nguyệt,tháng,这个月。Tháng này.
在,zài,at,tại,ở,我在家。Tôi ở nhà.
再见,zài jiàn,goodbye,tái kiến,tạm biệt,再见！Tạm biệt!
怎么,zěn me,how,chẩm ma,như thế nào,怎么做？Làm sao?
怎么样,zěn me yàng,how,chẩm ma dạng,thế nào,你觉得怎么样？Bạn thấy thế nào?
这,zhè,this,giá,này/đây,这是我的书。Đây là sách của tôi.
中国,zhōng guó,China,trung Quốc,Trung Quốc,我在中国。Tôi ở Trung Quốc.
中午,zhōng wǔ,noon,trung ngọ,buổi trưa,中午吃饭。Ăn trưa.
住,zhù,to live,trụ,ở/sống,我住在河内。Tôi sống ở Hà Nội.
桌子,zhuō zi,table,trác tử,bàn,桌子上有书。Trên bàn có sách.
字,zì,character,tự,chữ,写汉字。Viết chữ Hán.
昨天,zuó tiān,yesterday,tạc thiên,hôm qua,我昨天去北京。Hôm qua tôi đi Bắc Kinh.
坐,zuò,to sit,tọa,ngồi,请坐。Mời ngồi.
做,zuò,to do,tố,làm,我做饭。Tôi nấu ăn.
