Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
等,děng,class,đẳng,đẳng cấp/chờ,等等。Vân vân.
底,dǐ,background,để,đáy/cuối,到底。Cuối cùng.
地球,dì qiú,the Earth,địa cầu,trái đất,保护地球。Bảo vệ trái đất.
地址,dì zhǐ,address,địa chỉ,địa chỉ,我的地址。Địa chỉ của tôi.
掉,diào,to fall,điếu,rơi/rụng,书掉了。Sách rơi rồi.
调查,diào chá,investigation,điều tra,điều tra,调查情况。Điều tra tình hình.
丢,diū,to lose,điêu,mất/đánh mất,我丢了钱包。Tôi mất ví.
动作,dòng zuò,movement,động tác,động tác,做动作。Làm động tác.
堵车,dǔ chē,traffic jam,đổ xa,tắc đường,路上堵车了。Trên đường bị tắc.
肚子,dù zi,belly,đỗ tử,bụng,肚子疼。Đau bụng.
断,duàn,to break,đoạn,đứt/gãy,线断了。Dây đứt rồi.
对,duì,couple,đối,đúng/đôi,一对夫妻。Một cặp vợ chồng.
对,duì,couple,đối,đúng/đôi,你说得对。Bạn nói đúng.
对话,duì huà,dialog,đối thoại,đối thoại,练习对话。Luyện tập đối thoại.
对面,duì miàn,opposite,đối diện,đối diện,在对面。Ở đối diện.
顿,dùn,to stop,đốn,(lượng từ cho bữa ăn),一顿饭。Một bữa cơm.
朵,duǒ,flower,đóa,(lượng từ cho hoa),一朵花。Một bông hoa.
而,ér,and,nhi,mà/còn,我高兴，而他不高兴。Tôi vui còn anh ấy không vui.
儿童,ér tóng,child,nhi đồng,trẻ em,儿童节。Ngày Thiếu nhi.
发,fā,to send out,phát,gửi/phát,发邮件。Gửi email.
发生,fā shēng,to happen,phát sinh,xảy ra,发生了什么？Đã xảy ra chuyện gì?
发展,fā zhǎn,development,phát triển,phát triển,经济发展。Phát triển kinh tế.
法律,fǎ lǜ,law,pháp luật,pháp luật,遵守法律。Tuân thủ pháp luật.
翻译,fān yì,to translate,phiên dịch,dịch/phiên dịch,翻译文章。Dịch bài viết.
烦恼,fán nǎo,to be worried,phiền não,phiền não,我很烦恼。Tôi rất phiền não.
反对,fǎn duì,to fight against,phản đối,phản đối,我反对。Tôi phản đối.
反映,fǎn yìng,to mirror,phản ánh,phản ánh,反映情况。Phản ánh tình hình.
范围,fàn wéi,range,phạm vi,phạm vi,在这个范围内。Trong phạm vi này.
方法,fāng fǎ,method,phương pháp,phương pháp,学习方法。Phương pháp học.
方面,fāng miàn,respect,phương diện,phương diện/mặt,各方面。Các mặt.
方向,fāng xiàng,direction,phương hướng,phương hướng,正确的方向。Phương hướng đúng.
访问,fǎng wèn,to visit,phỏng vấn,phỏng vấn/thăm,访问中国。Thăm Trung Quốc.
放弃,fàng qì,to renounce,phóng khí,từ bỏ,不要放弃。Đừng từ bỏ.
放暑假,fàng shǔ jià,summer holidays,phóng thử giả,nghỉ hè,我们放暑假了。Chúng tôi nghỉ hè rồi.
分之,fēn zhī,fraction,phân chi,(phân số),三分之一。Một phần ba.
份,fèn,classifier for gifts,phần,(lượng từ),一份礼物。Một món quà.
风景,fēng jǐng,scenery,phong cảnh,phong cảnh,风景很美。Phong cảnh rất đẹp.
丰富,fēng fù,to enrich,phong phú,phong phú,内容很丰富。Nội dung rất phong phú.
否则,fǒu zé,if not,phủ tắc,nếu không,否则会迟到。Nếu không sẽ muộn.
符合,fú hé,in keeping with,phù hợp,phù hợp,符合要求。Phù hợp yêu cầu.
富,fù,rich,phú,giàu,他很富。Anh ấy rất giàu.
负责,fù zé,to be in charge of,phụ trách,chịu trách nhiệm/phụ trách,我负责这个工作。Tôi phụ trách công việc này.
复印,fù yìn,to photocopy,phục ấn,photocopy,复印文件。Photocopy tài liệu.
复杂,fù zá,complicated,phức tạp,phức tạp,问题很复杂。Vấn đề rất phức tạp.
父亲,fù qīn,father,phụ thân,cha/bố,我的父亲。Cha tôi.
改变,gǎi biàn,to change,cải biến,thay đổi,改变想法。Thay đổi suy nghĩ.
干杯,gān bēi,to drink a toast,can bôi,cạn ly/nâng cốc,我们干杯！Chúng ta cạn ly!
干燥,gān zào,to dry,can táo,khô/khô ráo,天气很干燥。Thời tiết rất khô.
感动,gǎn dòng,to move,cảm động,cảm động,我很感动。Tôi rất cảm động.
感觉,gǎn jué,to feel,cảm giác,cảm giác,我感觉不舒服。Tôi cảm thấy không khỏe.
感情,gǎn qíng,feeling,cảm tình,tình cảm,他们感情很好。Tình cảm của họ rất tốt.
感谢,gǎn xiè,express thanks,cảm tạ,cảm ơn,感谢你的帮助。Cảm ơn sự giúp đỡ của bạn.
干,gàn,tree trunk,can,làm/khô,干活。Làm việc.
刚刚,gāng gang,just recently,cang cang,vừa mới/vừa rồi,他刚刚走了。Anh ấy vừa mới đi.
高级,gāo jí,high level,cao cấp,cao cấp,高级酒店。Khách sạn cao cấp.
个子,gè zi,height,cá tử,chiều cao/vóc dáng,他个子很高。Anh ấy cao.
各,gè,each,các,mỗi/các,各位。Các vị.
公里,gōng lǐ,kilometer,công lí,kilômét,十公里。Mười kilômét.
工具,gōng jù,tool,công cụ,công cụ,使用工具。Sử dụng công cụ.
工资,gōng zī,wages,công tư,lương,我的工资。Lương của tôi.
共同,gòng tóng,common,cộng đồng,chung,共同努力。Cùng nhau nỗ lực.
够,gòu,to reach,cấu,đủ,钱够了。Đủ tiền rồi.
购物,gòu wù,shopping,cấu vật,mua sắm,去购物。Đi mua sắm.
孤单,gū dān,lone,cô đơn,cô đơn,我很孤单。Tôi rất cô đơn.
估计,gū jì,to estimate,cổ kế,ước tính/dự tính,我估计他会来。Tôi ước tính anh ấy sẽ đến.
鼓励,gǔ lì,to encourage,cổ lệ,khuyến khích/cổ vũ,老师鼓励我们。Giáo viên khuyến khích chúng tôi.
鼓掌,gǔ zhǎng,to applaud,cổ chưởng,vỗ tay,大家鼓掌。Mọi người vỗ tay.
顾客,gù kè,client,cố khách,khách hàng,欢迎顾客。Chào mừng khách hàng.
故意,gù yì,deliberately,cố ý,cố ý,他故意这样做。Anh ấy cố ý làm như vậy.
挂,guà,to hang,quải,treo/gác máy,挂电话。Gác máy.
关键,guān jiàn,crucial point,quan kiện,then chốt/quan trọng,关键问题。Vấn đề then chốt.
观众,guān zhòng,spectators,quan chúng,khán giả,观众很多。Khán giả rất đông.
管理,guǎn lǐ,to supervise,quản lí,quản lý,管理公司。Quản lý công ty.
光,guāng,light,quang,sáng/ánh sáng,阳光很好。Ánh sáng mặt trời rất tốt.
广播,guǎng bō,broadcast,quảng bá,phát thanh/quảng bá,听广播。Nghe phát thanh.
广告,guǎng gào,to advertise,quảng cáo,quảng cáo,做广告。Làm quảng cáo.
逛,guàng,to stroll,cuống,đi dạo/dạo chơi,逛街。Đi dạo phố.
规定,guī dìng,provision,quy định,quy định,遵守规定。Tuân thủ quy định.
国际,guó jì,international,quốc tế,quốc tế,国际学校。Trường quốc tế.
果然,guǒ rán,really,quả nhiên,quả nhiên,果然如此。Quả nhiên như vậy.
过,guò,experienced marker,quá,(trợ từ),我去过北京。Tôi đã đến Bắc Kinh.
过,guò,experienced marker,quá,(trợ từ),吃过了。Ăn rồi.
过程,guò chéng,course of events,quá trình,quá trình,学习过程。Quá trình học tập.
海洋,hǎi yáng,ocean,hải dương,đại dương,保护海洋。Bảo vệ đại dương.
害羞,hài xiū,shy,hại tu,xấu hổ/ngượng,她很害羞。Cô ấy rất ngượng.
寒假,hán jià,winter vacation,hàn giả,nghỉ đông,放寒假。Nghỉ đông.
汗,hàn,perspiration,hãn,mồ hôi,出汗了。Đổ mồ hôi rồi.
航班,háng bān,scheduled flight,hàng ban,chuyến bay,航班延误了。Chuyến bay bị trễ.
好处,hǎo chu,benefit,hảo xứ,lợi ích,有好处。Có lợi ích.
好像,hǎo xiàng,as if,hảo tượng,có vẻ như/giống như,好像要下雨。Có vẻ sắp mưa.
号码,hào mǎ,number,hiệu mã,số,电话号码。Số điện thoại.
合格,hé gé,qualified,hợp cách,đạt chuẩn/hợp cách,考试合格。Thi đạt.
合适,hé shì,suitable,hợp thích,phù hợp/hợp,这个很合适。Cái này rất hợp.
盒子,hé zi,case,hạp tử,hộp,一盒子。Một cái hộp.
猴子,hóu zi,monkey,hầu tử,khỉ,猴子很聪明。Khỉ rất thông minh.
厚,hòu,thick,hậu,dày,书很厚。Sách rất dày.
后悔,hòu huǐ,to regret,hậu hối,hối hận,我很后悔。Tôi rất hối hận.
后来,hòu lái,afterwards,hậu lai,sau này/về sau,后来怎么了？Sau đó thế nào?
忽然,hū rán,suddenly,hốt nhiên,đột nhiên/bỗng nhiên,天气忽然变了。Thời tiết đột nhiên thay đổi.
互相,hù xiāng,each other,hỗ tương,lẫn nhau,互相帮助。Giúp đỡ lẫn nhau.
护士,hù shi,nurse,hộ sĩ,y tá,她是护士。Cô ấy là y tá.
怀疑,huái yí,to doubt,hoài nghi,nghi ngờ,我怀疑他。Tôi nghi ngờ anh ấy.
回忆,huí yì,to recall,hồi ức,hồi ức/nhớ lại,回忆过去。Nhớ lại quá khứ.
活动,huó dòng,to exercise,hoạt động,hoạt động,参加活动。Tham gia hoạt động.
活泼,huó po,lively,hoạt bát,hoạt bát/sôi nổi,孩子很活泼。Trẻ em rất sôi nổi.
火,huǒ,fire,hỏa,lửa,小心火。Cẩn thận lửa.
获得,huò dé,to obtain,hoạch đắc,đạt được/giành được,获得成功。Giành được thành công.
基础,jī chǔ,base,cơ sở,cơ sở/nền tảng,基础知识。Kiến thức cơ bản.
激动,jī dòng,to excite,kích động,xúc động/kích động,我很激动。Tôi rất xúc động.
积极,jī jí,active,tích cực,tích cực,积极参加。Tích cực tham gia.
积累,jī lěi,to accumulate,tích lũy,tích lũy,积累经验。Tích lũy kinh nghiệm.
极其,jí qí,extremely,cực kỳ,cực kỳ,极其重要。Cực kỳ quan trọng.
即使,jí shǐ,even if,tức sử,ngay cả khi/dù,即使下雨我也去。Dù mưa tôi cũng đi.
及时,jí shí,in time,cập thì,kịp thời,及时到达。Đến kịp thời.
集合,jí hé,to gather,tập hợp,tập hợp,在这里集合。Tập hợp ở đây.
寄,jì,to live,kí,gửi,寄信。Gửi thư.
继续,jì xù,to continue,kế tục,tiếp tục,继续学习。Tiếp tục học.
记者,jì zhě,reporter,kí giả,phóng viên,他是记者。Anh ấy là phóng viên.
计划,jì huà,plan,kế hoạch,kế hoạch,制定计划。Lập kế hoạch.
技术,jì shù,technology,kỹ thuật,kỹ thuật,学习技术。Học kỹ thuật.
既然,jì rán,since,ký nhiên,đã...thì,既然来了就坐吧。Đã đến rồi thì ngồi đi.
家具,jiā jù,furniture,gia cụ,đồ nội thất,买家具。Mua đồ nội thất.
加班,jiā bān,to work overtime,gia ban,làm thêm giờ,今天要加班。Hôm nay phải làm thêm giờ.
加油站,jiā yóu zhàn,gas station,gia du trạm,trạm xăng,去加油站。Đi trạm xăng.
假,jiǎ,fake,giả,giả/nghỉ,真假难辨。Khó phân biệt thật giả.
价格,jià gé,price,giá cách,giá cả,价格便宜。Giá rẻ.
坚持,jiān chí,to persevere,kiên trì,kiên trì,坚持学习。Kiên trì học tập.
减肥,jiǎn féi,to lose weight,giảm phì,giảm cân,我要减肥。Tôi muốn giảm cân.
减少,jiǎn shǎo,to lessen,giảm thiểu,giảm,减少污染。Giảm ô nhiễm.
将来,jiāng lái,in the future,tương lai,tương lai,将来我想当老师。Tương lai tôi muốn làm giáo viên.
奖金,jiǎng jīn,premium,thưởng kim,tiền thưởng,得到奖金。Nhận tiền thưởng.
降低,jiàng dī,to reduce,giáng đê,hạ thấp/giảm,降低价格。Giảm giá.
交,jiāo,to hand over,giao,nộp/giao,交作业。Nộp bài.
交流,jiāo liú,to exchange,giao lưu,giao lưu,文化交流。Giao lưu văn hóa.
交通,jiāo tōng,to be connected,giao thông,giao thông,交通方便。Giao thông thuận lợi.
骄傲,jiāo ào,pride,kiêu ngạo,tự hào/kiêu ngạo,我很骄傲。Tôi rất tự hào.
饺子,jiǎo zi,dumpling,giảo tử,bánh bao/sủi cảo,吃饺子。Ăn bánh bao.
教授,jiào shòu,professor,giáo thụ,giáo sư,他是教授。Anh ấy là giáo sư.
教育,jiào yù,to educate,giáo dục,giáo dục,教育孩子。Giáo dục trẻ em.
接受,jiē shòu,to accept,tiếp thụ,chấp nhận,接受建议。Chấp nhận đề nghị.
节约,jié yuē,to economize,tiết ước,tiết kiệm,节约用水。Tiết kiệm nước.
结果,jié guǒ,outcome,kết quả,kết quả,考试结果。Kết quả thi.
解释,jiě shì,explanation,giải thích,giải thích,解释一下。Giải thích một chút.
紧张,jǐn zhāng,nervous,khẩn trương,căng thẳng/lo lắng,我很紧张。Tôi rất lo lắng.
尽管,jǐn guǎn,despite,tận quản,mặc dù,尽管很难，我也要做。Mặc dù khó nhưng tôi cũng làm.
进行,jìn xíng,to advance,tiến hành,tiến hành,进行讨论。Tiến hành thảo luận.
禁止,jìn zhǐ,to prohibit,cấm chỉ,cấm,禁止吸烟。Cấm hút thuốc.
精彩,jīng cǎi,brilliant,tinh thái,tuyệt vời/xuất sắc,表演很精彩。Buổi biểu diễn rất tuyệt vời.
精神,jīng shén,spirit,tinh thần,tinh thần,精神很好。Tinh thần rất tốt.
经济,jīng jì,economy,kinh tế,kinh tế,经济发展。Phát triển kinh tế.
经历,jīng lì,experience,kinh lịch,trải qua/kinh nghiệm,人生经历。Trải nghiệm cuộc đời.
经验,jīng yàn,to experience,kinh nghiệm,kinh nghiệm,工作经验。Kinh nghiệm làm việc.
京剧,Jīng jù,Beijing opera,Kinh kịch,kịch Kinh,看京剧。Xem kịch Kinh.
警察,jǐng chá,police,cảnh sát,cảnh sát,他是警察。Anh ấy là cảnh sát.
竟然,jìng rán,unexpectedly,cánh nhiên,thật ra/không ngờ,他竟然不知道。Anh ấy không ngờ không biết.
竞争,jìng zhēng,to compete,cạnh tranh,cạnh tranh,市场竞争。Cạnh tranh thị trường.
镜子,jìng zi,mirror,kính tử,gương,照镜子。Soi gương.
究竟,jiū jìng,after all,cứu cánh,rốt cuộc/cuối cùng,究竟怎么回事？Rốt cuộc chuyện gì vậy?
举办,jǔ bàn,to conduct,cử bạn,tổ chức,举办活动。Tổ chức hoạt động.
拒绝,jù jué,to refuse,cự tuyệt,từ chối,拒绝邀请。Từ chối lời mời.
距离,jù lí,distance,cự li,khoảng cách,很近的距离。Khoảng cách rất gần.
开玩笑,kāi wán xiào,to play a joke,khai hoàn tiếu,đùa/nói đùa,别开玩笑。Đừng đùa.
看法,kàn fǎ,way of looking,khán pháp,quan điểm/ý kiến,我的看法。Quan điểm của tôi.
考虑,kǎo lǜ,to think over,khảo lự,cân nhắc/suy nghĩ,考虑一下。Cân nhắc một chút.
棵,kē,classifier for trees,kha,(lượng từ cho cây),一棵树。Một cái cây.
科学,kē xué,science,khoa học,khoa học,学习科学。Học khoa học.
咳嗽,ké sou,to cough,khái thấu,ho,我咳嗽了。Tôi bị ho.
可怜,kě lián,pitiful,khả liên,tội nghiệp,他很可怜。Anh ấy rất tội nghiệp.
可是,kě shì,but,khả thị,nhưng,我想去，可是没时间。Tôi muốn đi nhưng không có thời gian.
可惜,kě xī,it is a pity,khả tích,tiếc,真可惜。Thật tiếc.
肯定,kěn dìng,to be sure,khẳng định,chắc chắn/khẳng định,我肯定。Tôi chắc chắn.
空气,kōng qì,air,không khí,không khí,空气很好。Không khí rất tốt.
恐怕,kǒng pà,fear,khủng phạ,e rằng/sợ rằng,恐怕不行。E rằng không được.
苦,kǔ,bitter,khổ,đắng/khổ,这药很苦。Thuốc này rất đắng.
宽,kuān,lenient,khoan,rộng,房间很宽。Phòng rất rộng.
困,kùn,sleepy,khốn,buồn ngủ,我很困。Tôi buồn ngủ lắm.
困难,kùn nan,difficult,khốn nan,khó khăn,遇到困难。Gặp khó khăn.
扩大,kuò dà,to expand,khoách đại,mở rộng,扩大规模。Mở rộng quy mô.
拉,lā,to pull,lạp,kéo,拉门。Kéo cửa.
垃圾桶,lā jī tǒng,rubbish bin,lạp cơ đổng,thùng rác,扔到垃圾桶。Vứt vào thùng rác.
辣,là,hot (spicy),lạt,cay,这个菜很辣。Món này rất cay.
来不及,lái bu jí,not enough time,lai bất cập,không kịp,来不及了。Không kịp rồi.
来得及,lái de jí,still time,lai đắc cập,kịp,还来得及。Còn kịp.
懒,lǎn,lazy,lãn,lười,他很懒。Anh ấy rất lười.
浪费,làng fèi,to waste,lãng phí,lãng phí,别浪费时间。Đừng lãng phí thời gian.
浪漫,làng màn,romantic,lãng mạn,lãng mạn,很浪漫。Rất lãng mạn.
老虎,lǎo hǔ,tiger,lão hổ,hổ/cọp,老虎很凶。Hổ rất dữ.
冷静,lěng jìng,calm,lãnh tĩnh,bình tĩnh,保持冷静。Giữ bình tĩnh.
礼貌,lǐ mào,courtesy,lễ mạo,lịch sự,他很礼貌。Anh ấy rất lịch sự.
理发,lǐ fà,a barber,lý phát,cắt tóc,去理发。Đi cắt tóc.
理解,lǐ jiě,to comprehend,lý giải,hiểu,我理解你。Tôi hiểu bạn.
理想,lǐ xiǎng,a dream,lý tưởng,lý tưởng,实现理想。Thực hiện lý tưởng.
厉害,lì hai,difficult to deal with,lệ hại,dữ/giỏi,他很厉害。Anh ấy rất giỏi.
力气,lì qi,strength,lực khí,sức lực,没力气了。Hết sức rồi.
例如,lì rú,for example,lệ như,ví dụ,例如这个。Ví dụ cái này.
俩,liǎ,two,lưỡng,hai (người),我俩。Chúng tôi hai người.
连,lián,to link,liên,liên tiếp/ngay cả,连我都不知道。Ngay cả tôi cũng không biết.
联系,lián xì,connection,liên hệ,liên hệ,保持联系。Giữ liên lạc.
凉快,liáng kuai,nice and cold,lương khoái,mát mẻ,天气很凉快。Thời tiết rất mát mẻ.
亮,liàng,bright,lượng,sáng,灯很亮。Đèn rất sáng.
聊天,liáo tiān,to chat,liêu thiên,trò chuyện/tán gẫu,我们聊天吧。Chúng ta trò chuyện nhé.
另外,lìng wài,additional,lệnh ngoại,ngoài ra,另外还有。Ngoài ra còn có.
留,liú,to leave,lưu,để lại/ở lại,留下来。Ở lại.
留学,liú xué,to study abroad,lưu học,du học,出国留学。Đi du học.
流泪,liú lèi,to shed tears,lưu lệ,rơi nước mắt,她流泪了。Cô ấy rơi nước mắt.
流利,liú lì,fluent,lưu lợi,trôi chảy,说得很流利。Nói rất trôi chảy.
流行,liú xíng,to spread,lưu hành,thịnh hành/phổ biến,流行音乐。Nhạc phổ biến.
乱,luàn,in confusion,loạn,lộn xộn/rối,房间很乱。Phòng rất lộn xộn.
律师,lǜ shī,lawyer,luật sư,luật sư,他是律师。Anh ấy là luật sư.
麻烦,má fan,inconvenient,ma phiền,phiền/phiền phức,真麻烦。Thật phiền.
马虎,mǎ hu,careless,mã hổ,cẩu thả,别马虎。Đừng cẩu thả.
满,mǎn,full,mãn,đầy,房间满了。Phòng đầy rồi.
毛巾,máo jīn,towel,mao cân,khăn,用毛巾。Dùng khăn.
美丽,měi lì,beautiful,mỹ lệ,xinh đẹp/đẹp đẽ,风景美丽。Phong cảnh xinh đẹp.
梦,mèng,dream,mộng,giấc mơ/mơ,做梦。Mơ/Nằm mơ.
密码,mì mǎ,code,mật mã,mật khẩu,输入密码。Nhập mật khẩu.
免费,miǎn fèi,free (of charge),miễn phí,miễn phí,免费参观。Tham quan miễn phí.
民族,mín zú,nationality,dân tộc,dân tộc,少数民族。Dân tộc thiểu số.
母亲,mǔ qīn,mother,mẫu thân,mẹ,我的母亲。Mẹ tôi.
目的,mù dì,purpose,mục đích,mục đích,学习目的。Mục đích học tập.
耐心,nài xīn,to be patient,nại tâm,kiên nhẫn,要耐心。Phải kiên nhẫn.
难道,nán dào,don't tell me,nan đạo,chẳng lẽ/có lẽ,难道你不知道？Chẳng lẽ bạn không biết?
难受,nán shòu,to feel unwell,nan thọ,khó chịu,我很难受。Tôi rất khó chịu.
内,nèi,inside,nội,trong,在国内。Trong nước.
内容,nèi róng,content,nội dung,nội dung,文章内容。Nội dung bài viết.
能力,néng lì,capability,năng lực,năng lực,工作能力。Năng lực làm việc.
年龄,nián líng,age,niên linh,tuổi/độ tuổi,他的年龄。Tuổi của anh ấy.
农村,nóng cūn,rural area,nông thôn,nông thôn,在农村。Ở nông thôn.
