Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
今天,jīntiān,today; at the present; now,kim thiên,hôm nay,今天是星期三。Hôm nay là thứ tư.
进,jìn,to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into; in; to score a goal,tiến,tiến vào,请进。Mời vào.
近,jìn,near; close to; approximately,cận,gần,我家很近。Nhà tôi rất gần.
九,jiǔ,nine; 9,cửu,chín,我有九个苹果。Tôi có chín quả táo.
就,jiù,at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,tựu,thì/liền,我马上就来。Tôi đến ngay.
觉得,juéde,to think; to feel,giác đắc,cảm thấy,我觉得很开心。Tôi cảm thấy rất vui.
咖啡,kāfēi,coffee; CL:杯[bēi],ca phi,cà phê,我喝咖啡。Tôi uống cà phê.
开,kāi,to open; to start; to turn on; to boil; to write out (a medical prescription); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin,khai,mở,开门！Mở cửa!
开始,kāishǐ,to begin; beginning; to start; initial; CL:個|个[gè],khai thủy,bắt đầu,我们开始吧。Chúng ta bắt đầu thôi.
看,kàn,to look after; to take care of; to watch; to guard,khán,xem/nhìn,我看书。Tôi đọc sách.
看见,kànjiàn,to see; to catch sight of,khán kiến,nhìn thấy,我看见他了。Tôi nhìn thấy anh ấy.
考试,kǎoshì,exam; CL:次[cì],khảo thí,thi,我明天考试。Ngày mai tôi thi.
可能,kěnéng,might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:個|个[gè],khả năng,có thể,他可能来。Anh ấy có thể đến.
可以,kěyǐ,can; may; possible; able to,khả dĩ,có thể,可以进来吗？Có thể vào không?
课,kè,subject; course; class; lesson; CL:堂[táng];节|節[jié];門|门[mén],khóa,bài học,上课了。Vào học rồi.
块,kuài,lump (of earth); chunk; piece; classifier for pieces of cloth; cake; soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc); usually as 塊錢|块钱,khối,đồng/miếng,一块钱：1 tệ
快,kuài,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant,khối,nhanh,他跑得很快。Anh ấy chạy rất nhanh.
快乐,kuàilè,happy; merry,khoái lạc,vui vẻ,生日快乐！Chúc mừng sinh nhật!
来,lái,to come; to arrive; to come round; ever since; next,lai,đến,你来这儿。Bạn đến đây.
老师,lǎoshī,teacher; CL:個|个[gè];位[wèi],lão sư,giáo viên,我是老师。Tôi là giáo viên.
了,le,(modal particle intensifying preceding clause); (completed action marker),liễu,(trợ từ) đã,我吃了。Tôi ăn rồi.
累,lèi,tired; weary; to strain; to wear out; to work hard,lệ,mệt,我很累。Tôi rất mệt.
冷,lěng,cold,lãnh,lạnh,今天很冷。Hôm nay rất lạnh.
离,lí,to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old),ly,cách,学校离这里很近。Trường cách đây rất gần.
里,lǐ,lining; interior; inside; internal; also written 裡|里 [lǐ],lí,bên trong,在家里：ở trong nhà.
两,liǎng,both; two; ounce; some; a few; tael; weight equal to  grams,lưỡng,hai,两个人。Hai người.
零,líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,linh,không,零度。0 độ.
六,liù,six; 6,lục,sáu,六个学生。Sáu học sinh.
路,lù,road; path; way; CL:條|条[tiáo],lộ,đường,这条路很长。Con đường này dài.
旅游,lǚyóu,trip; journey; tourism; travel; tour,du du,lữ du/du lịch,我喜欢旅游。Tôi thích du lịch.
妈妈,māmā,mama; mommy; mother; CL:個|个[gè];位[wèi],ma ma,mẹ,妈妈在家。Mẹ ở nhà.
吗,ma,(question tag),ma,à/hả/không?,你好吗？Bạn khỏe không?
买,mǎi,to buy; to purchase,mãi,mua,我买苹果。Tôi mua táo.
卖,mài,to sell; to betray; to spare no effort; to show off or flaunt,mại,bán,她卖水果。Cô ấy bán trái cây.
慢,màn,slow,mạn,chậm,太慢了！Chậm quá!
忙,máng,busy; hurriedly,mang,bận,我很忙。Tôi bận.
猫,māo,cat; CL:隻|只[zhī],miêu,mèo,我有一只猫。Tôi có một con mèo.
没,méi,(negative prefix for verbs); have not; not,một,không,我没钱。Tôi không có tiền.
没关系,méiguānxì,it doesn't matter,một quan hệ,không sao,没关系！Không sao!
每,měi,each; every,mỗi,mỗi,每天。Mỗi ngày.
妹妹,mèimèi,younger sister; fig. younger woman (esp. girl friend or rival); CL:個|个[gè],muội muội,em gái,我妹妹。Em gái tôi.
门,mén,gate; door; CL:扇[shàn]; gateway; doorway; CL:個|个[gè]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons; subjects; branches of technology,môn,cửa,开门！Mở cửa!
米饭,mǐfàn,(cooked) rice,mễ phạn,cơm,我爱吃米饭。Tôi thích ăn cơm.
明天,míngtiān,tomorrow,minh thiên,ngày mai,明天见。Hẹn gặp ngày mai.
名字,míngzì,name (of a person or thing); CL:個|个[gè],danh tự,tên,你的名字是什么？Tên bạn là gì?
哪,nǎ,how; which,nả,nào,你去哪？Bạn đi đâu?
那,nà,that; those; then (in that case); commonly pr. nèi before a classifier; esp. in Beijing,na,đó/kia,那是我的。Cái đó là của tôi.
男人,nánrén,a man; a male; men; CL:個|个[gè],nam nhân,đàn ông,那个男人是谁？Người đàn ông đó là ai?
呢,ne,(question particle for subjects already mentioned),ni,thì sao?,你呢？Còn bạn?
能,néng,to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of,năng,có thể,我能来。Tôi có thể đến.
你,nǐ,you (informal; as opposed to polite 您[nín]),nễ,bạn,你好吗？Bạn khỏe không?
年,nián,year; CL:個|个[gè],niên,năm,今年是2025年。Năm nay là 2025.
您,nín,you (polite; as opposed to informal 你[nǐ]),nhân,ngài,您好吗？Ngài khỏe không?
牛奶,niúnǎi,cow's milk; CL:瓶[píng];杯[bēi],ngưu nãi,sữa bò,我喝牛奶。Tôi uống sữa.
女儿,nǚér,daughter,nữ nhi,con gái,我有一个女儿。Tôi có một con gái.
女人,nǚrén,woman,nữ nhân,phụ nữ,那个女人很漂亮。Người phụ nữ đó rất đẹp.
旁边,pángbiān,lateral; side; to the side; beside,bàng biên,bên cạnh,我在你旁边。Tôi ở bên cạnh bạn.
跑步,pǎobù,to walk quickly; to march; to run,bào bộ,chạy bộ,我每天跑步。Tôi chạy bộ mỗi ngày.
朋友,péngyǒu,friend; CL:個|个[gè];位[wèi],bằng hữu,bạn bè,他是我的朋友。Anh ấy là bạn tôi.
便宜,piányi,small advantages; to let sb off lightly; cheap; inexpensive,tiện nghi,rẻ,很便宜。Rẻ lắm.
票,piào,ticket; ballot; bank note; CL:張|张[zhāng]; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect),phiếu,vé,一张票。Một vé.
漂亮,piàoliàng,pretty; beautiful,phiếu lượng,xinh đẹp,她很漂亮。Cô ấy rất đẹp.
苹果,píngguǒ,apple; CL:個|个[gè];顆|颗[kē],bình quả,táo,我吃苹果。Tôi ăn táo.
七,qī,seven; 7,thất,bảy,七个人。7 người.
妻子,qīzǐ,wife; CL:個|个[gè],thê tử,vợ,他有一个妻子。Anh ấy có một người vợ.
起床,qǐchuáng,to get up,khởi sàng,dậy,我七点起床。Tôi dậy lúc 7 giờ.
千,qiān,thousand,thiên,một nghìn,一千块。1000 tệ.
钱,qián,coin; money; CL:筆|笔[bǐ],tiền,tiền,我有很多钱。Tôi có nhiều tiền.
前面,qiánmiàn,ahead; in front; preceding; above,tiền diện,phía trước,前面有人。Phía trước có người.
晴,qíng,clear; fine (weather),tình,trời nắng,今天是晴天。Hôm nay trời nắng.
请,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc); to request,thỉnh,xin/mời,请进！Mời vào!
去,qù,to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed,khứ,đi,我去学校。Tôi đi học.
去年,qùnián,last year,khứ niên,năm ngoái,我去年去中国。Tôi đi Trung Quốc năm ngoái.
让,ràng,to yield; to permit; to let sb do sth; to have sb do sth,nhượng,để/cho phép,让我看看。Cho tôi xem.
热,rè,heat; to heat up; fervent; hot (of weather); warm up,nhiệt,nóng,天气很热。Thời tiết rất nóng.
人,rén,man; person; people; CL:個|个[gè];位[wèi],nhân,người,很多人。Nhiều người.
认识,rènshí,to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition,nhận thức,biết/quen,我认识他。Tôi quen anh ấy.
日,rì,sun; day; date; day of the month; abbr. for 日本|日本 Japan,nhật,ngày,今天是三日。Hôm nay ngày 3.
三,sān,three; 3,tam,ba,三个人。Ba người.
商店,shāngdiàn,store; shop; CL:家[jiā];個|个[gè],thương điếm,cửa hàng,我去商店。Tôi đi cửa hàng.
上,shàng,on; on top; upon; first (of multiple parts); previous; last; upper; higher; above; to climb; to go into; to go up; to attend (class or university),thượng,trên,在桌子上。Trên bàn.
上班,shàngbān,to go to work; to be on duty; to start work; to go to the office,thượng ban,đi làm,我八点上班。Tôi đi làm lúc 8 giờ.
上午,shàngwǔ,morning; CL:個|个[gè],thượng ngọ,buổi sáng,上午我学习。Sáng tôi học.
少,shǎo,few; little; lack,thiểu,ít,人很少。Ít người.
谁,shuí,who; also pronounced shuí,thuỳ,ai,你是谁？Bạn là ai?
身体,shēntǐ,(human) body; health; CL:個|个[gè],thân thể,cơ thể,身体好吗？Sức khỏe ổn không?
什么,shénme,what?; who?; something; anything,thập ma,cái gì,你说什么？Bạn nói gì?
生病,shēngbìng,to fall ill; to sicken,sinh bệnh,ốm,我生病了。Tôi bị bệnh.
生日,shēngrì,birthday; CL:個|个[gè],sinh nhật,sinh nhật,生日快乐！Chúc mừng sinh nhật!
十,shí,ten; 1,thập,mười,十个人。10 người.
时候,shíhòu,time; length of time; moment; period,thì hậu,khi/lúc,什么时候？Khi nào?
时间,shíjiān,time; period; CL:段[duàn],thời gian,thời gian,我没有时间。Tôi không có thời gian.
是,shì,is; are; am; yes; to be,thị,là,这是我。Đây là tôi.
事情,shìqíng,affair; matter; thing; business; CL:件[jiàn];樁|桩[zhuāng],sự tình,sự việc,什么事情？Chuyện gì vậy?
手表,shǒubiǎo,wrist watch; CL:塊|块[kuài];隻|只[zhī];個|个[gè],thủ biểu,đồng hồ đeo tay,我的手表。Đồng hồ của tôi.
手机,shǒujī,cell phone; cellular phone; mobile phone; CL:部[bù],thủ cơ,điện thoại di động,我的手机没电了。Điện thoại tôi hết pin rồi.
书,shū,book; letter; CL:本[běn];冊|册[cè];部[bù]; see also 書經|书经 Book of History,thư,sách,我买书。Tôi mua sách.
水,shuǐ,water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes,thuỷ,nước,我喝水。Tôi uống nước.
水果,shuǐguǒ,fruit; CL:個|个[gè],thuỷ quả,trái cây,我喜欢吃水果。Tôi thích ăn trái cây.
睡觉,shuìjiào,to go to bed; to go to sleep,thuỵ giác,ngủ,我去睡觉。Tôi đi ngủ.
说话,shuōhuà,to speak; to say; to talk; to gossip; to tell stories; talk; word,thuyết thoại,nói chuyện,不要说话。Đừng nói chuyện.
四,sì,four; 4,tứ,bốn,四个人。4 người.
送,sòng,to deliver; to carry; to give (as a present); to present (with); to see off; to send,tống,tặng/đưa,我送你回家。Tôi đưa bạn về.
岁,suì,classifier for years (of age); year; year (of crop harvests),tuế,tuổi,我二十岁。Tôi 20 tuổi.
所以,suǒyǐ,therefore; as a result; so,sở dĩ,cho nên,所以我不去了。Cho nên tôi không đi.
他,tā,he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another,tha,anh ấy,他是老师。Anh ấy là giáo viên.
她,tā,she,tha,cô ấy,她很好。Cô ấy rất tốt.
它,tā,it,tha,nó,它很可爱。Nó rất dễ thương.
太,tài,highest; greatest; too (much); very; extremely,thái,quá,太热了！Nóng quá!
踢足球,tīzúqiú,play soccer(football),thích túc cầu,đá bóng,我喜欢踢足球。Tôi thích đá bóng.
题,tí,topic; problem for discussion; exam question; subject; to inscribe; to mention; surname Ti; CL:個|个[gè];道[dào],đề,đề bài,这道题很难。Bài này khó.
天气,tiānqì,weather,thiên khí,thời tiết,今天天气很好。Hôm nay thời tiết đẹp.
跳舞,tiàowǔ,to dance,khiêu vũ,nhảy múa,她喜欢跳舞。Cô ấy thích nhảy.
听,tīng,to listen; to hear; to obey; a can (loanword from English tin); classifier for canned beverages,thính,nghe,我听音乐。Tôi nghe nhạc.
同学,tóngxué,(fellow) classmate; CL:位[wèi];個|个[gè],đồng học,bạn học,我是你的同学。Tôi là bạn học của bạn.
外,wài,outside; in addition; foreign; external,ngoại,bên ngoài,外面很冷。Bên ngoài rất lạnh.
完,wán,to finish; to be over; whole; complete; entire,hoàn,xong,我做完了。Tôi làm xong rồi.
玩,wán,toy; sth used for amusement; curio or antique (Taiwan pr. wàn); to play; to have fun; to trifle with; to keep sth for entertainment,ngoạn,chơi,我们一起玩吧。Chúng ta cùng chơi nhé.
晚上,wǎnshàng,in the evening; CL:個|个[gè],vãn thượng,buổi tối,晚上见。Hẹn gặp tối nay.
喂,wèi,hello (interj.; esp. on telephone); hey; to feed (sb or some animal),vị,alo,喂，你好！Alo; xin chào!
为什么,wèishénme,why?; for what reason?,vị thập ma,tại sao/vì sao,为什么不去？Tại sao không đi?
问,wèn,to ask,vấn,hỏi,我问你一个问题。Tôi hỏi bạn 1 câu.
问题,wèntí,question; problem; issue; topic; CL:個|个[gè],vấn đề,câu hỏi,这个问题很简单。Câu hỏi này rất dễ.
我,wǒ,I; me; my,ngã,tôi,我是学生。Tôi là học sinh.
我们,wǒmen,we; us; ourselves; our,ngã môn,chúng tôi/chúng ta,我们是朋友。Chúng ta là bạn.
五,wǔ,five; 5,ngũ,năm,五个人。5 người.
西瓜,xīguā,watermelon; CL:條|条[tiáo],tây qua,dưa hấu,我爱吃西瓜。Tôi thích ăn dưa hấu.
希望,xīwàng,to wish for; to desire; hope CL:個|个[gè],hi vọng,hy vọng,我希望你快乐。Tôi hy vọng bạn vui vẻ.
洗,xǐ,to wash; to bathe,tẩy,rửa/giặt,洗衣服。Giặt đồ.
喜欢,xǐhuān,to like; to be fond of,hỷ hoan,thích,我喜欢你。Tôi thích bạn.
下,xià,down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down,hạ,xuống/dưới,坐下。Ngồi xuống.
