Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
表面,biǎo miàn,surface,biểu diện,bề mặt,水的表面。Mặt nước.
表明,biǎo míng,to make clear,biểu minh,biểu thị/cho thấy,表明态度。Bày tỏ thái độ.
表情,biǎo qíng,facial expression,biểu tình,biểu cảm/nét mặt,面部表情。Nét mặt.
表现,biǎo xiàn,to show,biểu hiện,biểu hiện/thể hiện,表现很好。Biểu hiện rất tốt.
丙,bǐng,third of 10 heavenly,bính,Bính (can chi),甲乙丙丁。Giáp Ất Bính Đinh.
病毒,bìng dú,virus,bệnh độc,vi rút/virus,电脑病毒。Virus máy tính.
玻璃,bō li,glass,pha lê,thuỷ tinh,玻璃杯。Cốc thuỷ tinh.
博物馆,bó wù guǎn,museum,bác vật quán,bảo tàng,参观博物馆。Tham quan bảo tàng.
脖子,bó zi,neck,bạc tử,cổ,脖子疼。Đau cổ.
不必,bù bì,need not,bất tất,không cần,不必担心。Không cần lo.
不断,bù duàn,unceasing,bất đoạn,không ngừng/liên tục,不断努力。Nỗ lực không ngừng.
不见得,bù jiàn de,not necessarily,bất kiến đắc,chưa chắc,不见得对。Chưa chắc đúng.
不耐烦,bù nài fán,impatience,bất nại phiền,mất kiên nhẫn,他很不耐烦。Anh ấy rất mất kiên nhẫn.
不要紧,bù yào jǐn,unimportant,bất yếu khẩn,không sao/không quan trọng,不要紧。Không sao.
补充,bǔ chōng,to replenish,bổ sung,bổ sung,补充说明。Giải thích bổ sung.
不安,bù ān,unpeaceful,bất an,bất an/lo lắng,心里不安。Lòng bất an.
不得了,bù dé liǎo,desperately serious,bất đắc liễu,nghiêm trọng/ghê quá,不得了！Ghê quá!
不好意思,bù hǎo yì si,to feel embarrassed,bất hảo ý tư,xin lỗi/ngại,真不好意思。Thật ngại quá.
不免,bù miǎn,inevitably,bất miễn,không tránh khỏi,不免有错。Không tránh khỏi có lỗi.
不然,bù rán,not so,bất nhiên,nếu không,不然就迟到了。Nếu không sẽ muộn.
不如,bù rú,not equal to,bất như,không bằng,不如他。Không bằng anh ấy.
不足,bù zú,insufficient,bất túc,không đủ/thiếu,睡眠不足。Ngủ không đủ giấc.
布,bù,cloth,bố,vải,一块布。Một miếng vải.
步骤,bù zhòu,procedure,bộ tấu,bước/thủ tục,操作步骤。Các bước thao tác.
部门,bù mén,department,bộ môn,bộ phận/phòng ban,财务部门。Phòng tài chính.
财产,cái chǎn,property,tài sản,tài sản,个人财产。Tài sản cá nhân.
踩,cǎi,to step on,thái,giẫm/đạp,踩到了。Giẫm phải rồi.
采访,cǎi fǎng,to interview,thải phỏng,phỏng vấn,采访记者。Phỏng vấn phóng viên.
采取,cǎi qǔ,to adopt measures,thải thủ,áp dụng/thực hiện,采取措施。Thực hiện biện pháp.
彩虹,cǎi hóng,rainbow,thái hồng,cầu vồng,看彩虹。Xem cầu vồng.
参考,cān kǎo,consultation,tham khảo,tham khảo,参考资料。Tài liệu tham khảo.
参与,cān yù,to participate,tham dự,tham gia/tham dự,参与活动。Tham gia hoạt động.
餐厅,cān tīng,dining hall,xan thính,nhà hàng/phòng ăn,在餐厅吃饭。Ăn ở nhà hàng.
残疾,cán jí,disabled,tàn tật,tàn tật,残疾人。Người khuyết tật.
惭愧,cán kuì,ashamed,tàm quý,hổ thẹn/xấu hổ,我很惭愧。Tôi rất xấu hổ.
操场,cāo chǎng,playground,tháo trường,sân vận động,在操场运动。Vận động ở sân.
操心,cāo xīn,to worry about,tháo tâm,lo lắng,别操心。Đừng lo.
册,cè,book,sách,(lượng từ),一册书。Một quyển sách.
测验,cè yàn,test,trắc nghiệm,kiểm tra/bài kiểm tra,进行测验。Tiến hành kiểm tra.
厕所,cè suǒ,toilet,trắc sở,nhà vệ sinh/toilet,上厕所。Đi vệ sinh.
曾经,céng jīng,once,tằng kinh,từng/đã từng,曾经去过。Đã từng đi.
插,chā,to insert,sáp,cắm/chèn,插花。Cắm hoa.
差别,chā bié,difference,sai biệt,khác biệt/sự khác biệt,有差别。Có khác biệt.
叉子,chā zi,fork,xoa tử,nĩa/cái nĩa,用叉子。Dùng nĩa.
拆,chāi,to tear open,sách,tháo/mở,拆开包裹。Mở bưu kiện.
产品,chǎn pǐn,goods,sản phẩm,sản phẩm,质量产品。Sản phẩm chất lượng.
产生,chǎn shēng,to arise,sản sinh,sinh ra/phát sinh,产生影响。Tạo ra ảnh hưởng.
长途,cháng tú,long distance,trường đồ,đường dài/xa,长途电话。Điện thoại đường dài.
常识,cháng shí,common sense,thường thức,tri thức thông thường,基本常识。Tri thức cơ bản.
抄,chāo,to make a copy,sao,chép,抄写。Sao chép.
朝,cháo,imperial court,triều,triều đại/về phía,朝南。Hướng về phía nam.
朝代,cháo dài,dynasty,triều đại,triều đại,唐朝代。Triều đại Đường.
炒,chǎo,to sauté,sảo,xào/chiên,炒菜。Xào rau.
吵架,chǎo jià,to quarrel,sao giá,cãi nhau,别吵架。Đừng cãi nhau.
车库,chē kù,garage,xa khố,nhà để xe/ga ra,停在车库。Đỗ ở nhà để xe.
车厢,chē xiāng,carriage,xa tương,toa xe,火车车厢。Toa tàu hoả.
彻底,chè dǐ,thorough,triệt để,triệt để/hoàn toàn,彻底解决。Giải quyết triệt để.
沉默,chén mò,taciturn,trầm mặc,im lặng,保持沉默。Giữ im lặng.
趁,chèn,to avail oneself of,sấn,nhân/tranh thủ,趁机会。Nhân cơ hội.
称,chēng,to weigh,xưng,cân/gọi,称体重。Cân trọng lượng.
称呼,chēng hu,to call,xưng hô,xưng hô,如何称呼？Xưng hô như thế nào?
称赞,chēng zàn,to praise,xưng tán,khen ngợi,称赞他。Khen ngợi anh ấy.
乘,chéng,to ride,thừa,đi/nhân,乘车。Đi xe.
承担,chéng dān,to undertake,thừa đảm,gánh vác/đảm nhận,承担责任。Gánh vác trách nhiệm.
承认,chéng rèn,to admit,thừa nhận,thừa nhận,承认错误。Thừa nhận lỗi lầm.
承受,chéng shòu,to bear,thừa thụ,chịu đựng,承受压力。Chịu đựng áp lực.
成分,chéng fèn,composition,thành phần,thành phần,主要成分。Thành phần chính.
成果,chéng guǒ,result,thành quả,thành quả/kết quả,研究成果。Thành quả nghiên cứu.
成就,chéng jiù,accomplishment,thành tựu,thành tựu,伟大成就。Thành tựu vĩ đại.
成立,chéng lì,to establish,thành lập,thành lập,成立公司。Thành lập công ty.
成语,chéng yǔ,Chinese set expression,thành ngữ,thành ngữ,学习成语。Học thành ngữ.
成长,chéng zhǎng,to mature,thành trưởng,trưởng thành/lớn lên,快乐成长。Lớn lên vui vẻ.
程度,chéng dù,degree,trình độ,mức độ/trình độ,一定程度。Một mức độ nhất định.
程序,chéng xù,procedures,trình tự,trình tự/chương trình,操作程序。Trình tự thao tác.
诚恳,chéng kěn,sincere,thành khẩn,thành khẩn,态度诚恳。Thái độ thành khẩn.
吃亏,chī kuī,to suffer losses,khất khuy,chịu thiệt/thua thiệt,不吃亏。Không thua thiệt.
持续,chí xù,to continue,trì tục,tiếp tục/kéo dài,持续发展。Tiếp tục phát triển.
池子,chí zi,pond,trì tử,ao/bể,游泳池子。Bể bơi.
尺子,chǐ zi,rule,xích tử,thước kẻ,用尺子。Dùng thước.
翅膀,chì bǎng,wing,sí bảng,cánh,鸟的翅膀。Cánh chim.
冲,chōng,thoroughfare,xung,xối/rửa/về phía,冲水。Xối nước.
充电器,chōng diàn qì,battery charger,sung điện khí,bộ sạc pin,手机充电器。Bộ sạc điện thoại.
充分,chōng fèn,ample,sung phân,đầy đủ/thỏa đáng,时间充分。Thời gian đầy đủ.
充满,chōng mǎn,full of,sung mãn,tràn đầy/đầy,充满信心。Tràn đầy tự tin.
重复,chóng fù,to repeat,trùng phục,lặp lại,不要重复。Đừng lặp lại.
宠物,chǒng wù,house pet,sủng vật,thú cưng,养宠物。Nuôi thú cưng.
抽屉,chōu ti,drawer,trừu thế,ngăn kéo,打开抽屉。Mở ngăn kéo.
抽象,chōu xiàng,abstract,trừu tượng,trừu tượng,抽象画。Tranh trừu tượng.
丑,chǒu,shameful,xú,xấu xí,长得丑。Trông xấu.
臭,chòu,stench,xú,hôi thối,臭味。Mùi hôi.
出版,chū bǎn,to publish,xuất bản,xuất bản,出版书籍。Xuất bản sách.
出口,chū kǒu,an exit,xuất khẩu,lối ra/xuất khẩu,安全出口。Lối ra an toàn.
出色,chū sè,remarkable,xuất sắc,xuất sắc,表现出色。Biểu hiện xuất sắc.
出席,chū xí,to attend,xuất tịch,tham dự/có mặt,出席会议。Tham dự hội nghị.
初级,chū jí,junior,sơ cấp,sơ cấp/cơ bản,初级阶段。Giai đoạn sơ cấp.
除,chú,to get rid of,trừ,trừ bỏ/ngoại trừ,除了他。Ngoại trừ anh ấy.
除非,chú fēi,only if,trừ phi,trừ phi/trừ khi,除非你去。Trừ phi anh đi.
除夕,chú xī,New Year's Eve,trừ tịch,đêm giao thừa,除夕夜。Đêm giao thừa.
处理,chǔ lǐ,to handle,xử lý,xử lý,处理问题。Xử lý vấn đề.
传播,chuán bō,to disseminate,truyền bá,truyền bá/lan truyền,传播知识。Truyền bá tri thức.
传递,chuán dì,to transmit,truyền đệ,truyền đạt/chuyển giao,传递信息。Truyền tải thông tin.
传染,chuán rǎn,to infect,truyền nhiễm,lây nhiễm,传染病。Bệnh truyền nhiễm.
传说,chuán shuō,legend,truyền thuyết,truyền thuyết,民间传说。Truyền thuyết dân gian.
传统,chuán tǒng,tradition,truyền thống,truyền thống,传统文化。Văn hoá truyền thống.
窗帘,chuāng lián,window curtains,song liêm,rèm cửa,拉窗帘。Kéo rèm cửa.
闯,chuǎng,to rush,sang,xông vào/ló mặt,闯进去。Xông vào.
创造,chuàng zào,to create,sáng tạo,sáng tạo/tạo ra,创造机会。Tạo ra cơ hội.
吹,chuī,to blow,xuy,thổi,吹风。Thổi gió.
磁带,cí dài,magnetic tape,từ đới,băng từ,录音磁带。Băng từ ghi âm.
辞职,cí zhí,to resign,từ chức,từ chức,决定辞职。Quyết định từ chức.
此外,cǐ wài,besides,thử ngoại,ngoài ra,此外还有。Ngoài ra còn có.
刺激,cì jī,to provoke,thích kích,kích thích,刺激经济。Kích thích kinh tế.
次要,cì yào,secondary,thứ yếu,thứ yếu,次要问题。Vấn đề thứ yếu.
匆忙,cōng máng,hasty,sung mang,vội vàng/gấp gáp,很匆忙。Rất vội vàng.
从此,cóng cǐ,from now on,tòng thử,từ đó/từ nay,从此以后。Từ đó trở đi.
从而,cóng ér,thus,tòng nhi,do đó/từ đó,从而得出。Do đó suy ra.
从前,cóng qián,previously,tòng tiền,trước đây/ngày xưa,从前有。Ngày xưa có.
从事,cóng shì,to go for,tòng sự,tham gia/làm,从事工作。Làm công việc.
醋,cù,vinegar,thố,giấm,吃醋。Ăn giấm (ghen).
促进,cù jìn,to promote,xúc tiến,thúc đẩy,促进发展。Thúc đẩy phát triển.
促使,cù shǐ,to induce,xúc sử,thúc giục/thúc đẩy,促使改变。Thúc đẩy thay đổi.
催,cuī,to urge,thôi,thúc giục,催他快点。Thúc anh ấy nhanh lên.
存,cún,to exist,tồn,tồn tại/để,存钱。Để dành tiền.
存在,cún zài,to exist,tồn tại,tồn tại,存在问题。Tồn tại vấn đề.
错误,cuò wù,error,thác ngộ,lỗi/sai lầm,犯错误。Mắc lỗi.
措施,cuò shī,measure,thố thi,biện pháp,采取措施。Áp dụng biện pháp.
答应,dā ying,to promise,đáp ứng,đồng ý/hứa,答应他。Đồng ý với anh ấy.
达到,dá dào,to reach,đạt đáo,đạt đến,达到目标。Đạt mục tiêu.
打工,dǎ gōng,to work temporary job,đả công,làm công nhật,出去打工。Ra ngoài làm công.
打交道,dǎ jiāo dào,to come into contact,đả giao đạo,giao du/tiếp xúc,打交道。Giao du.
打喷嚏,dǎ pēn tì,to sneeze,đả phẩn thế,hắt hơi,打喷嚏了。Hắt hơi rồi.
打听,dǎ ting,to ask about,đả thính,hỏi thăm/dò hỏi,打听消息。Dò hỏi tin tức.
打招呼,dǎ zhāo hu,to greet,đả chiêu hô,chào hỏi,打个招呼。Chào hỏi.
大方,dà fang,generous,đại phương,hào phóng/tự nhiên,很大方。Rất hào phóng.
大象,dà xiàng,elephant,đại tượng,con voi,看大象。Xem voi.
大型,dà xíng,large,đại hình,lớn/quy mô lớn,大型活动。Hoạt động quy mô lớn.
呆,dāi,foolish,đãi,ngốc/ngây ngô,发呆。Ngơ ngác.
贷款,dài kuǎn,a loan,thế khoản,khoản vay,银行贷款。Vay ngân hàng.
待遇,dài yù,treatment,đãi ngộ,đãi ngộ/chế độ,工资待遇。Chế độ lương.
担任,dān rèn,to hold a post,đảm nhiệm,đảm nhiệm/đảm nhận,担任职务。Đảm nhiệm chức vụ.
单纯,dān chún,simple,đơn thuần,đơn thuần/đơn giản,很单纯。Rất đơn thuần.
单调,dān diào,monotonous,đơn điệu,đơn điệu,生活单调。Cuộc sống đơn điệu.
单独,dān dú,alone,đơn độc,đơn độc/một mình,单独行动。Hành động một mình.
单位,dān wèi,a unit,đơn vị,đơn vị,工作单位。Đơn vị công tác.
单元,dān yuán,unit,đơn nguyên,đơn nguyên,第一单元。Bài một.
耽误,dān wu,to delay,đam ngộ,trì hoãn/làm chậm,耽误时间。Trì hoãn thời gian.
胆小鬼,dǎn xiǎo guǐ,coward,đảm tiểu quỷ,kẻ hèn nhát,他是胆小鬼。Anh ấy là kẻ hèn nhát.
淡,dàn,insipid,đạm,nhạt/nhạt nhẽo,味道淡。Vị nhạt.
当代,dāng dài,the present age,đương đại,đương đại/hiện đại,当代社会。Xã hội đương đại.
挡,dǎng,to resist,đảng,chặn/cản,挡住。Chặn lại.
岛,dǎo,island,đảo,đảo/hòn đảo,海岛。Hòn đảo.
倒霉,dǎo méi,to have bad luck,đảo mai,xui xẻo/gặp xui,真倒霉。Thật xui.
导演,dǎo yǎn,to direct,đạo diễn,đạo diễn,电影导演。Đạo diễn phim.
导致,dǎo zhì,to lead to,đạo trí,dẫn đến,导致失败。Dẫn đến thất bại.
倒,dào,to place upside down,đảo,đổ/rót,倒水。Rót nước.
到达,dào dá,to reach,đáo đạt,đến/đạt tới,到达目的地。Đến đích.
道德,dào dé,virtue,đạo đức,đạo đức,道德品质。Phẩm chất đạo đức.
道理,dào li,reason,đạo lý,đạo lý/lý do,有道理。Có lý.
登机牌,dēng jī pái,boarding pass,đăng cơ bài,thẻ lên máy bay,拿登机牌。Lấy thẻ lên máy bay.
登记,dēng jì,to register,đăng ký,đăng ký,登记信息。Đăng ký thông tin.
等待,děng dài,to wait,đẳng đãi,chờ đợi,等待机会。Chờ đợi cơ hội.
等候,děng hòu,to wait,đẳng hậu,chờ đợi,等候通知。Chờ thông báo.
等于,děng yú,to equal,đẳng ư,bằng,一加一等于二。Một cộng một bằng hai.
滴,dī,a drop,địch,giọt,一滴水。Một giọt nước.
的确,dí què,really,đích xác,đích thực/thực sự,的确如此。Đúng như vậy.
敌人,dí rén,enemy,địch nhân,kẻ thù,打败敌人。Đánh bại kẻ thù.
递,dì,to hand over,đệ,đưa/trao,递给他。Đưa cho anh ấy.
地道,dì dao,authentic,địa đạo,chính gốc/hầm ngầm,很地道。Rất chính gốc.
地理,dì lǐ,geography,địa lý,địa lý,地理知识。Kiến thức địa lý.
地区,dì qū,local,địa khu,khu vực/địa phương,山区地区。Vùng miền núi.
地毯,dì tǎn,carpet,địa thảm,thảm,铺地毯。Trải thảm.
地位,dì wèi,position,địa vị,địa vị/vị trí,社会地位。Địa vị xã hội.
地震,dì zhèn,earthquake,địa chấn,động đất,发生地震。Xảy ra động đất.
点头,diǎn tóu,to nod,điểm đầu,gật đầu,点头同意。Gật đầu đồng ý.
点心,diǎn xin,light refreshments,điểm tâm,điểm tâm,吃点心。Ăn điểm tâm.
电池,diàn chí,battery,điện trì,pin,换电池。Thay pin.
电台,diàn tái,transmitter-receiver,điện đài,đài phát thanh,广播电台。Đài phát thanh.
钓,diào,to fish,điếu,câu,钓鱼。Câu cá.
丁,dīng,fourth of 10 heavenly,đinh,Đinh (can chi),甲乙丙丁。Giáp Ất Bính Đinh.
顶,dǐng,apex,đảnh,đỉnh/lên,山顶。Đỉnh núi.
冻,dòng,to freeze,đông,đông lạnh,冻住了。Đông lạnh rồi.
洞,dòng,cave,động,cái lỗ/hang động,一个洞。Một cái lỗ.
动画片,dòng huà piàn,animated film,động họa phiến,phim hoạt hình,看动画片。Xem phim hoạt hình.
逗,dòu,to stay,đậu,trêu/dừng,逗留。Dừng lại.
豆腐,dòu fu,tofu,đậu phủ,đậu phụ,吃豆腐。Ăn đậu phụ.
独立,dú lì,independent,độc lập,độc lập,独立自主。Độc lập tự chủ.
独特,dú tè,unique,độc đặc,độc đáo/đặc biệt,风格独特。Phong cách độc đáo.
度过,dù guò,to pass,độ qua,trải qua,度过假期。Trải qua kỳ nghỉ.
短信,duǎn xìn,text message,đoản tín,tin nhắn,发短信。Gửi tin nhắn.
堆,duī,to pile up,đôi,đống/chồng,一堆书。Một đống sách.
对比,duì bǐ,to contrast,đối tỉ,so sánh/đối chiếu,对比分析。So sánh phân tích.
对待,duì dài,to treat,đối đãi,đối xử,对待客人。Đối xử với khách.
对方,duì fāng,counterpart,đối phương,bên kia/đối phương,对方说。Bên kia nói.
对手,duì shǒu,opponent,đối thủ,đối thủ,竞争对手。Đối thủ cạnh tranh.
对象,duì xiàng,target,đối tượng,đối tượng,研究对象。Đối tượng nghiên cứu.
对于,duì yú,regarding,đối ư,đối với,对于我。Đối với tôi.
吨,dūn,ton,đốn,tấn,一吨重。Nặng một tấn.
蹲,dūn,to crouch,đôn,ngồi xổm,蹲下。Ngồi xổm xuống.
多亏,duō kuī,thanks to,đa khuy,nhờ có/may mà,多亏你。Nhờ có anh.
多余,duō yú,superfluous,đa dư,thừa/dư thừa,多余的。Thừa thãi.
躲藏,duǒ cáng,to hide oneself,tỏa tàng,trốn/ẩn náu,躲藏起来。Trốn đi.
恶劣,è liè,vile,ác liệt,tồi tệ/xấu,天气恶劣。Thời tiết xấu.
发表,fā biǎo,to issue,phát biểu,phát biểu/công bố,发表意见。Phát biểu ý kiến.
发愁,fā chóu,to worry,phát sầu,lo lắng,别发愁。Đừng lo.
发达,fā dá,developed,phát đạt,phát triển,发达国家。Nước phát triển.
发抖,fā dǒu,to tremble,phát đẩu,run rẩy/rét run,冷得发抖。Rét run bần bật.
发挥,fā huī,to display,phát huy,phát huy,发挥作用。Phát huy tác dụng.
发明,fā míng,to invent,phát minh,phát minh,发明创造。Phát minh sáng tạo.
发票,fā piào,invoice,phát phiếu,hóa đơn,开发票。Xuất hóa đơn.
发言,fā yán,to make a speech,phát ngôn,phát biểu,发言人。Người phát ngôn.
罚款,fá kuǎn,fine,phạt khoản,phạt tiền,被罚款。Bị phạt tiền.
法院,fǎ yuàn,court of law,pháp viện,tòa án,去法院。Đi tòa án.
翻,fān,to turn over,phiên,lật/dịch,翻书。Lật sách.
繁荣,fán róng,prosperous,phồn vinh,thịnh vượng/phồn vinh,经济繁荣。Kinh tế thịnh vượng.
凡是,fán shì,each and every,phàm thị,phàm là/bất kì,凡是学生。Phàm là học sinh.
反而,fǎn ér,instead,phản nhi,ngược lại/trái lại,反而更好。Ngược lại còn tốt hơn.
反复,fǎn fù,repeatedly,phản phục,lặp đi lặp lại,反复练习。Luyện tập lặp đi lặp lại.
反应,fǎn yìng,to react,phản ứng,phản ứng,化学反应。Phản ứng hóa học.
反正,fǎn zhèng,anyway,phản chính,dù sao/phản chính,反正都行。Dù sao cũng được.
方,fāng,square,phương,vuông/phương,正方。Hình vuông.
方案,fāng àn,plan,phương án,phương án/kế hoạch,设计方案。Phương án thiết kế.
方式,fāng shì,way,phương thức,phương thức/cách thức,生活方式。Lối sống.
妨碍,fáng ài,to hinder,phương ngại,cản trở,妨碍工作。Cản trở công việc.
房东,fáng dōng,landlord,phòng đông,chủ nhà,找房东。Tìm chủ nhà.
仿佛,fǎng fú,to seem,phỏng phất,dường như/như thể,仿佛看见。Dường như thấy.
放松,fàng sōng,to loosen,phóng tùng,thư giãn,放松心情。Thư giãn tâm trạng.
非,fēi,to not be,phi,không phải,非常好。Rất tốt.
肥皂,féi zào,soap,phì tạo,xà phòng,用肥皂。Dùng xà phòng.
肺,fèi,lung,phế,phổi,肺部。Bộ phận phổi.
废话,fèi huà,nonsense,phế thoại,lời vô ích/nói nhiều,别说废话。Đừng nói nhiều.
费用,fèi yòng,cost,phí dụng,phí dùng/chi phí,生活费用。Chi phí sinh hoạt.
分别,fēn bié,to part,phân biệt,chia tay/phân biệt,分别时刻。Lúc chia tay.
分布,fēn bù,distributed,phân bố,phân bố,人口分布。Phân bố dân số.
分配,fēn pèi,to distribute,phân phối,phân phối/phân chia,分配任务。Phân công nhiệm vụ.
分析,fēn xī,to analyze,phân tích,phân tích,分析问题。Phân tích vấn đề.
纷纷,fēn fēn,one after another,phân phân,ầm ầm/lũ lượt,纷纷到来。Lũ lượt kéo đến.
奋斗,fèn dòu,to strive,phấn đấu,phấn đấu,努力奋斗。Nỗ lực phấn đấu.
愤怒,fèn nù,angry,phẫn nộ,tức giận/phẫn nộ,非常愤怒。Rất tức giận.
风格,fēng gé,style,phong cách,phong cách,独特风格。Phong cách độc đáo.
风俗,fēng sú,social custom,phong tục,phong tục,民间风俗。Phong tục dân gian.
风险,fēng xiǎn,risk,phong hiểm,rủi ro,投资风险。Rủi ro đầu tư.
疯狂,fēng kuáng,madness,phong cuồng,điên cuồng,疯狂购物。Mua sắm điên cuồng.
讽刺,fěng cì,to satirize,phúng thích,mỉa mai/châm biếm,讽刺小说。Tiểu thuyết châm biếm.
否定,fǒu dìng,to negate,phủ định,phủ định,否定意见。Ý kiến phủ định.
否认,fǒu rèn,to declare untrue,phủ nhận,phủ nhận,否认事实。Phủ nhận sự thật.
扶,fú,to support,phù,đỡ/dìu,扶老人。Dìu người già.
幅,fú,width,bức,bức (tranh),一幅画。Một bức tranh.
服从,fú cóng,to obey,phục tòng,tuân theo/phục tùng,服从命令。Tuân lệnh.
服装,fú zhuāng,dress,phục trang,trang phục/quần áo,时装服装。Trang phục thời trang.
辅导,fǔ dǎo,to coach,phụ đạo,phụ đạo/gia sư,辅导学生。Phụ đạo học sinh.
复制,fù zhì,to duplicate,phục chế,sao chép/nhân bản,复制文件。Sao chép tài liệu.
付款,fù kuǎn,to pay,phó khoản,trả tiền,付款方式。Phương thức thanh toán.
妇女,fù nǚ,woman,phụ nữ,phụ nữ,妇女节。Ngày Phụ nữ.
改革,gǎi gé,reform,cải cách,cải cách,改革开放。Cải cách mở cửa.
改进,gǎi jìn,to improve,cải tiến,cải tiến,改进方法。Cải tiến phương pháp.
改善,gǎi shàn,to make better,cải thiện,cải thiện,改善生活。Cải thiện đời sống.
改正,gǎi zhèng,to correct,cải chính,sửa chữa,改正错误。Sửa lỗi.
盖,gài,lid,cái,nắp/đậy,盖子。Cái nắp.
概括,gài kuò,to summarize,khái quát,khái quát/tóm tắt,概括内容。Tóm tắt nội dung.
概念,gài niàn,concept,khái niệm,khái niệm,基本概念。Khái niệm cơ bản.
干脆,gān cuì,straightforward,can thúy,đơn giản/dứt khoát,干脆一点。Dứt khoát một chút.
感激,gǎn jī,to be grateful,cảm kích,cảm kích/biết ơn,非常感激。Rất cảm kích.
感受,gǎn shòu,to sense,cảm thụ,cảm nhận,感受幸福。Cảm nhận hạnh phúc.
感想,gǎn xiǎng,impressions,cảm tưởng,cảm tưởng/cảm nghĩ,谈感想。Nói cảm tưởng.
